timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:39:48.527445;81,23;102,83;177,68;172,82;173,68;152,00;76,66;77,32;56,75;146,17;123,92;73,94
2025-04-17 11:39:48.567457;81,15;102,69;177,76;173,07;173,82;151,86;76,36;77,95;55,72;146,38;124,94;74,74
2025-04-17 11:39:48.606977;80,79;102,56;177,81;173,31;173,95;152,09;76,05;78,22;54,96;146,95;125,77;97,70
2025-04-17 11:39:48.655987;81,01;102,63;177,90;173,19;174,14;152,09;76,16;78,40;55,41;147,87;125,21;120,46
2025-04-17 11:39:48.695511;81,43;102,94;177,76;172,98;173,96;151,96;78,07;79,05;62,19;148,69;118,45;124,12
2025-04-17 11:39:48.737514;81,21;103,04;177,57;172,94;173,88;152,38;77,09;79,07;58,84;149,18;121,52;129,18
2025-04-17 11:39:48.780059;81,57;103,64;177,58;172,34;173,74;152,19;76,82;79,29;58,82;149,01;121,37;116,26
2025-04-17 11:39:48.824057;81,57;103,62;177,56;172,39;173,81;152,22;77,25;79,43;59,73;149,46;120,36;132,36
2025-04-17 11:39:48.866054;81,60;103,61;177,57;172,50;173,92;152,13;77,33;79,06;59,62;148,95;120,45;119,26
2025-04-17 11:39:48.907569;81,68;103,74;177,53;172,47;173,86;152,30;77,73;76,49;62,01;145,80;118,13;79,42
2025-04-17 11:39:48.948571;82,08;103,84;177,18;172,27;173,50;152,77;77,73;75,26;62,99;145,04;116,92;72,75
2025-04-17 11:39:48.990101;81,73;103,50;177,73;172,91;174,17;153,23;76,12;75,66;57,70;146,49;122,24;151,17
2025-04-17 11:39:49.033101;81,81;103,58;177,65;172,78;174,51;153,29;75,97;75,73;57,72;147,65;122,42;161,63
2025-04-17 11:39:49.074630;82,89;104,09;177,41;172,48;174,96;152,89;75,78;76,21;56,85;148,88;123,10;162,24
2025-04-17 11:39:49.120629;82,20;103,83;177,54;172,75;175,32;153,08;74,38;76,84;52,39;149,73;127,73;165,40
2025-04-17 11:39:49.165640;82,58;104,44;177,31;172,02;175,67;153,71;73,90;76,70;49,09;150,65;129,88;158,09
2025-04-17 11:39:49.206160;82,90;104,66;176,83;171,26;176,06;154,00;74,22;76,14;49,14;150,11;129,64;153,05
2025-04-17 11:39:49.250160;84,15;105,04;175,95;170,24;175,72;155,07;75,65;80,70;51,59;150,57;126,30;112,83
2025-04-17 11:39:49.295684;81,54;103,52;175,82;170,57;175,14;155,19;76,37;82,78;51,22;153,07;126,25;154,24
2025-04-17 11:39:49.337686;81,20;102,43;175,29;170,27;174,53;154,49;78,41;83,38;53,01;153,35;124,21;157,20
2025-04-17 11:39:49.383213;81,03;102,60;174,98;169,46;174,50;154,29;80,55;83,87;54,07;153,79;123,17;157,78
2025-04-17 11:39:49.423208;81,06;101,64;174,62;168,29;174,33;154,59;81,38;84,46;52,53;154,15;124,80;150,87
2025-04-17 11:39:49.462217;81,51;100,05;174,37;167,72;174,51;154,70;81,62;84,50;52,31;154,22;125,11;146,09
2025-04-17 11:39:49.510743;81,84;100,56;174,11;166,12;174,36;155,92;81,67;85,56;51,32;156,46;125,70;153,58
2025-04-17 11:39:49.554745;82,04;100,50;173,70;165,48;174,12;156,26;81,01;86,50;48,06;156,33;129,51;151,38
2025-04-17 11:39:49.596265;81,82;100,54;173,11;165,21;173,59;157,26;80,58;87,32;46,40;157,51;131,20;150,32
2025-04-17 11:39:49.639271;83,90;101,45;171,33;164,41;173,40;156,43;80,39;87,60;45,13;158,69;132,27;145,70
2025-04-17 11:39:49.680812;85,09;104,02;168,45;163,30;171,43;155,03;80,00;92,93;46,22;159,24;129,53;132,63
2025-04-17 11:39:49.720810;86,34;107,05;166,84;164,19;169,97;149,95;83,62;96,00;50,37;161,76;124,70;138,04
2025-04-17 11:39:49.765822;86,64;106,02;167,72;164,30;170,13;149,66;84,28;94,68;56,47;161,73;119,18;140,40
