timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:42:01.043403;102,35;118,93;145,96;163,38;163,46;146,07;61,81;17,61;132,03;75,88;113,63;109,04
2025-04-17 11:42:01.093428;102,36;119,14;145,99;163,53;163,64;146,05;61,82;17,66;132,08;75,80;113,75;109,23
2025-04-17 11:42:01.144955;102,42;119,18;145,99;163,54;163,70;146,02;61,83;17,73;132,09;75,73;113,77;109,35
2025-04-17 11:42:01.190993;102,19;118,76;146,76;163,84;164,38;146,05;61,83;17,48;132,12;75,88;113,81;109,27
2025-04-17 11:42:01.235486;102,63;119,03;146,74;163,77;164,90;146,29;61,51;17,59;132,03;75,53;113,83;109,72
2025-04-17 11:42:01.281486;102,33;119,07;146,26;163,64;164,13;146,01;61,26;17,53;131,86;75,48;113,91;109,76
2025-04-17 11:42:01.327001;102,25;118,83;146,58;163,66;164,70;145,97;61,03;17,57;131,88;75,29;113,55;109,95
2025-04-17 11:42:01.371005;102,20;118,90;146,45;163,66;164,89;145,89;60,83;17,63;131,88;75,19;113,60;110,12
2025-04-17 11:42:01.415550;102,27;118,75;146,43;164,03;164,68;145,36;61,17;17,58;132,02;75,31;113,50;109,89
2025-04-17 11:42:01.464563;102,19;118,55;146,46;164,47;164,75;145,39;61,04;17,57;131,93;75,19;113,16;109,99
2025-04-17 11:42:01.511162;102,38;118,58;146,20;164,34;164,90;145,35;61,05;17,51;131,99;75,17;113,32;110,01
2025-04-17 11:42:01.557679;101,86;117,90;147,20;164,48;165,73;145,54;61,09;17,08;132,27;75,36;113,56;109,84
2025-04-17 11:42:01.604925;102,00;117,85;147,02;164,65;165,74;145,61;61,18;18,07;132,31;74,67;114,30;110,61
2025-04-17 11:42:01.655480;102,42;118,53;146,98;164,70;165,99;144,72;61,24;17,12;132,27;75,54;114,22;109,69
2025-04-17 11:42:01.700745;102,15;118,47;147,11;164,66;165,64;144,80;61,24;16,86;132,10;75,82;114,03;109,48
2025-04-17 11:42:01.745287;101,76;118,17;147,22;164,92;165,43;144,91;61,21;17,42;132,06;75,30;113,55;110,05
2025-04-17 11:42:01.791346;102,24;118,32;147,17;164,87;165,31;144,94;62,29;17,27;132,78;75,50;114,35;109,79
2025-04-17 11:42:01.833905;102,75;119,13;146,14;164,13;164,56;144,83;62,16;16,71;132,69;76,06;114,48;109,26
2025-04-17 11:42:01.882315;102,68;119,47;145,73;163,36;164,09;145,75;61,73;17,18;132,23;75,88;114,39;109,50
2025-04-17 11:42:01.931134;102,56;119,32;145,67;163,47;163,91;145,71;61,73;17,20;132,19;75,91;114,17;109,43
2025-04-17 11:42:01.977123;102,62;119,10;146,61;163,63;165,10;145,77;61,91;17,26;132,31;75,91;114,15;109,44
2025-04-17 11:42:02.028709;102,31;118,62;146,79;163,98;165,45;145,97;61,61;17,00;132,39;76,05;114,64;109,29
2025-04-17 11:42:02.074740;102,31;118,67;146,65;164,04;165,41;145,98;61,28;17,65;132,17;75,48;114,66;109,96
2025-04-17 11:42:02.122539;102,56;118,61;145,97;163,96;164,43;146,14;61,14;16,49;131,66;76,75;114,08;108,60
2025-04-17 11:42:02.175555;102,24;118,42;146,18;164,09;164,34;146,69;61,08;16,58;131,52;76,71;112,98;108,74
2025-04-17 11:42:02.220052;102,16;118,24;146,58;164,07;164,58;147,11;60,93;16,71;131,40;76,56;113,12;108,92
2025-04-17 11:42:02.268049;102,03;118,24;146,67;163,86;164,88;146,84;60,80;16,83;131,57;76,29;113,31;109,17
2025-04-17 11:42:02.315063;101,66;118,24;146,92;163,34;164,90;147,05;60,70;16,27;131,50;76,68;113,06;108,78
2025-04-17 11:42:02.359618;101,72;118,46;148,09;164,05;166,22;147,09;60,67;16,30;131,44;76,62;112,49;108,83
2025-04-17 11:42:02.409635;102,34;119,22;147,28;163,07;165,70;146,73;60,64;16,07;131,47;76,36;112,65;108,97
2025-04-17 11:42:02.460140;102,15;119,21;146,99;163,15;165,74;146,67;60,24;18,72;131,58;73,48;112,61;111,86
2025-04-17 11:42:02.506153;102,21;119,11;146,99;163,40;165,88;146,51;60,30;18,56;131,59;73,63;112,66;111,51
2025-04-17 11:42:02.559257;101,64;118,88;147,18;163,19;165,62;146,95;60,10;18,58;131,57;73,56;112,88;111,50
2025-04-17 11:42:02.603451;101,12;119,09;146,67;163,16;164,67;146,89;60,05;18,27;131,50;73,97;112,38;111,05
2025-04-17 11:42:02.649968;101,28;118,50;147,69;163,56;166,01;147,14;60,06;18,07;131,60;74,07;112,54;110,89
2025-04-17 11:42:02.698967;101,22;118,68;147,65;162,93;166,12;147,28;59,98;18,02;131,67;74,08;112,66;110,71
2025-04-17 11:42:02.744466;101,34;118,43;147,58;163,58;166,19;146,89;60,00;18,04;131,71;74,11;112,26;110,74
2025-04-17 11:42:02.792245;101,35;118,24;147,67;163,25;166,28;146,90;60,05;17,61;131,84;74,33;112,44;110,42
2025-04-17 11:42:02.841708;101,34;117,97;147,68;163,33;166,43;146,80;60,08;17,01;132,05;74,70;112,65;109,87
2025-04-17 11:42:02.889101;101,25;117,88;148,01;163,31;166,68;146,92;60,04;16,80;131,95;74,92;112,91;109,45
2025-04-17 11:42:02.940221;101,25;118,24;148,01;162,89;166,65;146,71;60,08;16,94;131,95;74,90;113,25;109,28
2025-04-17 11:42:02.989245;101,75;118,70;147,73;162,18;166,83;147,11;59,98;16,84;131,95;74,83;113,98;109,44
2025-04-17 11:42:03.039896;101,72;118,82;147,76;162,56;166,66;146,66;59,79;16,43;131,62;75,03;113,61;109,23
2025-04-17 11:42:03.086897;102,31;118,91;147,81;162,09;167,13;146,93;59,99;15,97;131,87;75,26;114,68;108,45
2025-04-17 11:42:03.127450;102,58;119,24;147,35;161,59;167,16;146,67;59,75;16,51;131,57;74,96;114,20;108,31
2025-04-17 11:42:03.179451;103,19;119,62;145,92;161,45;166,39;146,33;59,40;16,68;131,42;74,63;114,18;108,28
2025-04-17 11:42:03.227575;102,45;119,17;145,88;161,55;165,69;146,21;58,59;16,35;130,57;74,93;111,66;108,01
2025-04-17 11:42:03.281805;102,55;119,47;145,16;161,53;165,05;145,45;58,28;15,62;130,33;75,12;111,48;107,86
2025-04-17 11:42:03.328735;102,44;119,61;145,11;161,52;165,12;145,44;57,54;15,12;129,60;75,50;110,34;107,60
2025-04-17 11:42:03.381439;102,67;119,75;145,08;161,51;165,64;144,97;56,64;14,45;129,24;75,75;109,11;107,24
2025-04-17 11:42:03.419982;102,84;120,14;144,91;160,78;165,96;145,02;55,70;13,64;128,81;76,24;108,67;106,72
2025-04-17 11:42:03.463126;102,93;120,81;144,46;160,20;165,99;145,15;55,42;13,43;128,88;76,22;108,88;106,46
2025-04-17 11:42:03.510318;103,10;121,00;144,13;159,13;166,01;145,83;54,98;13,15;128,74;76,38;108,98;106,19
2025-04-17 11:42:03.555345;103,45;121,54;142,11;158,42;164,31;145,63;55,47;13,99;129,66;75,36;111,00;106,95
2025-04-17 11:42:03.600355;103,99;122,97;141,08;157,15;163,77;145,57;55,53;15,46;129,68;74,10;111,94;108,02
2025-04-17 11:42:03.645961;103,96;122,98;140,42;156,85;163,07;145,56;56,75;12,58;130,93;77,43;114,64;104,41
2025-04-17 11:42:03.790522;104,39;123,69;138,79;155,23;161,38;145,72;56,77;11,55;130,62;81,02;115,75;101,61
2025-04-17 11:42:03.834248;103,56;123,69;140,51;154,89;162,42;146,97;56,62;12,26;130,34;80,79;115,55;102,02
2025-04-17 11:42:03.880226;103,58;123,11;142,97;154,94;164,14;147,04;56,13;12,64;129,51;81,23;113,42;102,58
2025-04-17 11:42:03.925919;102,53;121,73;146,82;154,55;166,51;148,59;53,88;13,05;126,39;81,64;107,31;102,80
2025-04-17 11:42:03.975986;104,11;122,90;145,79;153,76;166,61;147,71;52,90;13,86;124,70;80,66;103,51;103,79
2025-04-17 11:42:04.018540;103,92;123,02;147,01;153,07;166,63;148,62;50,31;15,85;120,16;81,15;95,90;104,63
2025-04-17 11:42:04.063565;105,52;122,83;145,78;153,57;165,29;148,34;50,74;17,20;119,28;81,28;95,40;105,38
2025-04-17 11:42:04.114575;106,32;124,38;143,79;150,48;163,46;150,68;48,82;27,00;115,80;71,28;85,65;118,53
2025-04-17 11:42:04.162112;104,96;123,67;143,97;151,07;160,54;150,08;47,96;29,25;112,80;69,72;78,36;120,98
2025-04-17 11:42:04.203179;104,97;124,19;143,87;150,25;160,63;150,08;47,46;32,40;111,98;66,20;78,56;124,13
2025-04-17 11:42:04.251217;104,20;123,75;145,96;150,65;160,64;150,51;48,29;35,27;110,65;65,80;80,39;123,65
2025-04-17 11:42:04.300198;104,73;124,56;146,23;151,47;160,10;150,42;49,03;38,05;109,55;64,84;85,13;125,44
2025-04-17 11:42:04.347327;102,19;122,37;147,34;156,16;158,06;148,04;49,74;41,05;107,43;63,39;81,68;128,38
2025-04-17 11:42:04.395350;104,34;123,64;145,12;157,79;154,55;146,13;52,68;48,15;103,54;59,49;89,48;131,80
2025-04-17 11:42:04.449025;104,99;124,14;144,79;156,68;154,23;149,15;57,78;50,07;104,09;59,95;91,98;131,48
2025-04-17 11:42:04.505050;105,69;124,01;142,01;159,17;150,62;146,98;62,08;53,21;104,58;60,72;91,39;131,64
2025-04-17 11:42:04.549562;104,88;119,86;145,74;161,41;151,50;147,96;71,12;50,63;109,67;70,31;88,51;123,49
2025-04-17 11:42:04.603567;103,71;117,51;146,69;160,86;152,23;149,39;75,10;43,86;111,09;98,18;94,64;98,59
2025-04-17 11:42:04.690427;100,49;114,12;150,53;160,80;155,48;149,35;75,42;45,87;110,66;111,62;98,31;86,62
2025-04-17 11:42:04.747794;100,03;113,55;150,82;160,87;155,94;148,44;75,32;44,89;110,70;110,43;98,71;86,99
