timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:48:17.009852;105,21;113,70;171,56;173,78;174,44;144,26;26,35;8,60;97,99;83,90;70,75;88,80
2025-04-17 11:48:17.055851;105,10;113,32;171,57;173,91;174,42;144,24;25,76;9,44;97,35;84,75;71,46;87,51
2025-04-17 11:48:17.096376;105,02;112,88;171,51;173,94;174,45;144,35;25,07;9,73;96,82;84,88;71,89;86,90
2025-04-17 11:48:17.140374;105,01;112,75;171,48;173,94;174,44;144,29;25,12;9,83;96,89;84,95;71,81;86,81
2025-04-17 11:48:17.183893;105,00;112,73;171,37;173,99;174,37;144,25;25,61;11,27;97,45;86,35;70,94;85,17
2025-04-17 11:48:17.232894;104,80;112,68;171,52;174,10;174,32;144,24;26,17;12,68;98,09;87,73;70,34;83,70
2025-04-17 11:48:17.282409;105,59;115,90;170,91;173,77;174,09;143,05;25,66;10,73;96,77;85,91;71,69;86,23
2025-04-17 11:48:17.328407;105,49;115,25;170,92;173,85;174,06;143,39;25,55;9,70;96,61;84,88;71,98;87,30
2025-04-17 11:48:17.372412;105,36;116,20;171,15;173,80;174,16;143,43;25,34;10,28;96,48;85,51;72,15;86,50
2025-04-17 11:48:17.417928;105,36;117,83;171,33;173,51;174,17;143,65;25,12;11,52;96,23;86,92;72,35;85,08
2025-04-17 11:48:17.474394;105,43;117,66;171,32;173,27;174,19;143,63;24,79;10,27;95,85;85,69;72,91;86,76
2025-04-17 11:48:17.519909;105,38;117,84;171,35;173,38;174,16;143,67;25,01;10,59;96,05;86,06;72,41;86,19
2025-04-17 11:48:17.572917;105,33;117,81;171,36;173,39;174,12;143,59;25,27;11,05;96,35;86,44;72,15;85,80
2025-04-17 11:48:17.618428;105,15;117,86;171,49;173,48;174,16;143,72;24,74;9,35;95,72;84,87;72,93;88,68
2025-04-17 11:48:17.668433;105,07;117,78;171,51;173,51;174,14;143,69;24,30;8,82;95,16;84,30;73,37;89,05
2025-04-17 11:48:17.717946;104,90;117,66;171,49;173,57;174,07;144,14;24,39;9,39;95,21;84,84;73,44;88,39
