timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:41:03.464633;96,29;118,29;156,52;159,25;160,20;146,47;107,03;76,13;141,03;88,20;108,18;116,47
2025-04-17 11:41:03.507631;95,50;117,60;156,59;159,88;159,58;146,56;106,70;76,05;140,52;89,00;108,72;115,72
2025-04-17 11:41:03.549148;97,21;117,68;155,40;159,70;159,72;147,33;107,55;76,87;141,61;91,43;108,72;113,95
2025-04-17 11:41:03.599147;96,87;117,37;155,46;159,65;159,71;147,26;107,40;77,18;141,49;94,67;107,21;111,67
2025-04-17 11:41:03.646693;96,95;118,17;155,27;159,45;159,10;147,18;108,01;77,82;142,08;97,41;110,33;109,52
2025-04-17 11:41:03.691709;96,79;118,20;155,25;159,12;159,02;147,35;108,00;77,87;142,00;96,34;110,23;110,53
2025-04-17 11:41:03.748210;97,45;118,64;154,75;156,82;158,99;149,26;108,13;78,03;141,86;92,94;113,78;113,04
2025-04-17 11:41:03.804230;97,47;118,60;154,59;156,78;158,95;149,06;108,28;78,29;142,39;93,32;111,90;112,77
2025-04-17 11:41:03.852777;97,54;118,82;154,53;157,54;158,77;148,68;107,90;78,46;141,13;95,01;108,31;111,61
2025-04-17 11:41:03.898777;96,09;117,70;154,19;158,06;157,59;148,36;106,17;78,02;137,18;92,80;104,52;113,31
2025-04-17 11:41:03.947065;95,74;117,31;154,74;158,68;158,44;148,08;106,00;77,99;137,26;94,98;105,15;111,88
2025-04-17 11:41:03.992510;96,23;117,74;153,63;158,55;157,70;147,96;105,39;78,11;137,86;94,19;105,51;112,49
2025-04-17 11:41:04.044517;96,49;117,81;153,18;158,61;157,64;146,37;104,81;75,84;138,94;90,62;105,56;114,87
2025-04-17 11:41:04.096028;97,13;118,65;152,29;158,14;157,15;146,02;103,55;74,09;137,36;76,99;101,66;125,27
2025-04-17 11:41:04.144056;97,87;119,70;151,94;157,94;157,50;145,50;100,78;71,68;134,91;72,25;101,43;128,69
2025-04-17 11:41:04.192556;98,86;119,87;151,90;157,53;158,06;146,64;98,57;70,95;130,61;66,64;98,89;134,25
2025-04-17 11:41:04.238562;99,23;120,71;151,80;157,07;158,43;146,02;98,08;70,14;131,68;68,84;102,50;131,79
2025-04-17 11:41:04.287075;103,47;123,90;148,91;154,69;158,57;147,19;97,09;67,61;133,63;59,96;117,91;138,26
2025-04-17 11:41:04.339083;103,02;123,44;149,37;154,58;158,61;147,35;97,53;64,51;137,66;66,88;119,76;132,26
2025-04-17 11:41:04.388161;106,27;125,66;148,43;154,56;158,98;148,72;96,71;67,90;135,02;52,42;112,20;142,45
2025-04-17 11:41:04.444167;104,70;124,47;147,21;155,94;157,44;147,16;90,52;56,00;131,22;58,24;98,74;129,97
2025-04-17 11:41:04.498680;104,57;123,97;147,33;156,09;157,46;147,35;84,98;55,39;125,92;56,20;92,45;130,30
2025-04-17 11:41:04.543685;104,19;123,54;147,80;157,73;159,39;145,25;73,31;48,74;119,36;57,18;73,67;125,54
2025-04-17 11:41:04.591199;102,58;122,51;150,77;157,21;164,40;145,06;64,44;44,87;121,01;54,69;66,89;126,35
2025-04-17 11:41:04.635208;103,14;122,90;150,73;157,43;164,48;142,60;63,64;42,53;122,86;53,76;64,46;126,54
2025-04-17 11:41:04.683716;102,59;123,04;150,30;156,47;165,89;143,50;59,96;39,84;124,68;55,00;67,06;125,74
2025-04-17 11:41:04.739149;102,00;123,32;149,80;155,78;165,14;143,44;55,58;38,47;121,29;55,12;63,32;125,76
2025-04-17 11:41:04.783656;101,81;123,51;148,49;154,84;164,39;144,10;52,36;38,28;118,63;54,76;61,90;126,37
2025-04-17 11:41:04.835667;100,51;121,55;151,96;156,36;167,56;142,15;58,26;26,48;127,74;63,53;86,28;116,70
2025-04-17 11:41:04.900176;99,28;120,65;154,30;157,43;168,97;141,85;62,52;18,92;132,02;72,10;99,67;107,02
2025-04-17 11:41:04.942201;98,39;121,61;155,46;155,88;169,87;141,77;63,69;16,58;134,40;73,70;104,24;105,65
2025-04-17 11:41:04.984334;99,68;122,45;154,42;155,99;170,25;141,47;65,39;15,32;137,37;72,75;112,94;106,30
2025-04-17 11:41:05.032339;101,49;123,41;152,88;155,02;169,85;143,84;64,95;14,89;136,90;73,58;116,36;105,97
2025-04-17 11:41:05.091851;102,44;124,07;151,89;154,51;169,72;146,19;64,24;14,40;136,30;75,89;117,28;104,50
2025-04-17 11:41:05.141857;104,20;125,30;147,13;154,12;166,93;145,41;63,75;12,86;135,94;76,25;117,22;103,23
2025-04-17 11:41:05.186373;104,86;125,36;144,30;155,11;166,12;145,33;62,08;15,14;135,70;73,48;115,39;106,56
2025-04-17 11:41:05.231370;104,98;125,51;144,26;155,68;166,17;145,75;61,17;18,30;134,68;71,63;115,33;109,24
2025-04-17 11:41:05.281893;105,97;125,15;142,69;157,60;165,53;146,87;61,09;22,42;133,69;70,80;115,34;111,38
2025-04-17 11:41:05.333900;106,11;124,76;141,96;159,37;164,93;144,80;61,08;20,62;133,64;71,63;115,04;110,84
2025-04-17 11:41:05.382415;106,46;125,88;139,78;158,68;162,63;145,60;61,70;20,43;133,27;73,76;117,32;109,25
2025-04-17 11:41:05.429415;106,29;125,01;138,90;157,91;160,60;146,42;62,06;18,68;133,22;75,41;117,52;107,32
2025-04-17 11:41:05.486934;107,32;124,76;138,13;158,15;160,80;146,65;61,74;18,07;132,89;75,60;116,86;107,28
2025-04-17 11:41:05.544944;106,61;124,03;139,14;158,92;160,86;146,51;62,45;17,89;133,17;75,95;117,04;106,98
2025-04-17 11:41:05.595472;106,20;123,48;139,93;159,15;161,35;146,41;62,29;16,76;133,11;76,59;116,05;106,31
2025-04-17 11:41:05.643463;105,53;122,93;141,00;160,35;162,17;146,41;61,66;16,74;132,62;76,44;115,17;106,36
2025-04-17 11:41:05.694697;104,94;123,27;141,55;160,30;162,14;146,42;61,63;16,95;132,52;76,82;115,42;106,01
2025-04-17 11:41:05.745691;103,84;123,28;141,06;160,20;160,59;146,78;61,74;17,71;132,67;76,28;115,60;106,98
2025-04-17 11:41:05.792203;104,15;122,98;141,03;160,85;160,64;146,84;63,33;17,31;133,92;76,60;116,62;107,70
2025-04-17 11:41:05.843209;103,79;122,91;140,89;160,69;159,74;147,47;64,57;16,48;134,85;77,71;118,60;106,32
2025-04-17 11:41:05.888721;103,45;122,32;141,61;161,27;160,28;147,57;65,21;16,67;135,48;77,31;119,71;106,99
2025-04-17 11:41:05.944729;103,56;122,36;141,01;160,86;159,58;148,57;65,50;15,17;135,59;79,55;120,31;105,11
2025-04-17 11:41:05.997241;102,99;122,23;140,43;160,38;158,84;148,36;67,16;9,52;137,60;84,21;124,33;100,95
2025-04-17 11:41:06.045250;103,24;123,68;140,10;159,41;159,55;149,40;67,85;18,66;138,76;79,27;126,90;106,21
2025-04-17 11:41:06.093768;103,18;124,16;140,16;158,71;161,03;149,32;67,61;18,63;139,91;79,72;130,16;106,00
2025-04-17 11:41:06.137775;102,87;124,05;139,90;158,91;160,16;148,99;68,66;15,67;140,72;83,38;131,47;102,18
2025-04-17 11:41:06.187283;102,70;124,34;139,91;157,70;161,00;150,38;68,27;17,24;141,11;81,29;132,40;104,53
2025-04-17 11:41:06.236318;102,83;124,21;139,54;157,53;160,77;150,23;68,64;18,42;141,69;80,37;133,74;105,45
2025-04-17 11:41:06.280803;102,71;124,61;138,50;157,17;160,10;149,96;68,20;17,93;142,07;80,43;134,70;105,51
2025-04-17 11:41:06.343813;101,67;124,16;138,11;157,53;158,38;149,39;67,68;14,74;141,20;83,08;133,85;102,32
2025-04-17 11:41:06.397015;101,43;123,52;138,29;157,25;157,84;150,17;68,53;12,63;141,39;87,22;133,98;98,35
2025-04-17 11:41:06.441025;100,54;122,16;139,52;158,44;158,77;150,36;64,46;10,86;136,96;92,16;128,34;93,61
