timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:45:14.045119;124,89;129,56;176,70;170,15;174,17;149,82;83,09;65,19;115,59;126,24;118,09;101,88
2025-04-17 11:45:14.096661;117,85;124,18;177,02;169,85;173,80;150,21;83,14;65,16;115,88;126,19;118,62;102,11
2025-04-17 11:45:14.156656;113,60;125,11;177,31;169,91;173,71;151,27;83,13;65,10;116,57;125,56;118,38;102,73
2025-04-17 11:45:14.209166;112,07;128,54;177,38;170,52;173,61;151,27;82,64;64,83;116,07;124,95;118,18;103,47
2025-04-17 11:45:14.264172;105,55;125,37;176,84;170,01;173,60;150,09;83,50;67,37;117,85;126,30;121,00;103,23
2025-04-17 11:45:14.312684;103,81;123,28;176,79;170,75;173,73;150,13;82,51;66,49;116,61;126,17;120,22;101,30
2025-04-17 11:45:14.365691;100,26;123,41;177,06;170,66;174,08;151,05;82,99;66,65;118,80;126,39;124,30;102,31
2025-04-17 11:45:14.411207;99,12;123,08;176,95;170,07;173,95;151,15;83,22;66,84;119,73;126,30;123,97;102,46
2025-04-17 11:45:14.463213;98,86;122,11;177,01;169,76;174,31;151,06;83,15;66,80;120,68;125,41;123,84;103,12
2025-04-17 11:45:14.515725;99,36;122,33;176,88;169,72;174,14;150,97;83,96;67,23;122,00;126,76;124,68;103,05
2025-04-17 11:45:14.563737;99,30;122,24;176,93;169,76;174,13;150,77;83,94;68,05;121,78;128,10;123,20;102,77
2025-04-17 11:45:14.613294;99,59;122,94;176,77;169,71;174,03;150,00;83,39;68,85;121,74;126,65;122,86;103,64
2025-04-17 11:45:14.659291;103,21;124,37;174,34;169,33;173,93;148,39;79,11;60,13;118,30;123,47;122,68;99,04
2025-04-17 11:45:14.713813;103,59;124,65;174,26;169,59;173,85;148,13;77,87;54,67;117,79;121,87;121,25;95,37
2025-04-17 11:45:14.767824;104,79;125,68;173,57;169,34;173,58;147,55;76,86;53,06;119,16;121,23;118,86;95,07
2025-04-17 11:45:14.813337;104,13;124,50;174,34;169,79;173,71;148,15;73,58;51,57;118,32;120,73;116,35;94,51
2025-04-17 11:45:14.865342;103,95;124,65;174,86;170,65;173,58;148,82;67,05;46,02;117,63;120,73;107,98;88,29
2025-04-17 11:45:14.937974;101,93;130,63;176,29;169,62;173,47;149,25;63,02;42,48;115,54;120,12;107,46;84,87
2025-04-17 11:45:14.987513;102,01;129,68;176,31;169,91;173,02;149,53;61,99;41,73;114,90;120,78;106,63;84,39
