timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:53:49.005057;93,65;107,05;156,90;162,42;161,66;142,48;64,19;59,53;98,79;137,13;73,77;92,93
2025-04-17 11:53:49.055973;93,69;106,57;157,28;162,12;162,27;143,53;63,56;59,81;97,48;138,22;74,99;90,41
2025-04-17 11:53:49.095566;93,59;105,97;156,89;162,97;161,82;142,78;62,66;58,67;95,42;137,28;76,79;90,92
2025-04-17 11:53:49.143027;93,67;105,69;156,99;162,99;162,07;142,41;62,58;57,63;94,05;135,88;78,19;90,01
2025-04-17 11:53:49.182611;93,68;105,67;157,03;163,21;161,63;142,54;62,38;57,98;92,50;136,61;79,89;91,13
2025-04-17 11:53:49.222822;92,87;105,61;157,24;163,22;161,74;142,55;61,88;58,13;91,24;136,85;81,18;92,70
2025-04-17 11:53:49.263911;92,82;105,91;157,22;163,40;161,71;142,87;62,65;59,93;93,21;139,04;79,44;96,18
2025-04-17 11:53:49.310751;93,70;107,01;156,35;162,87;161,76;142,71;61,82;51,05;91,98;117,77;80,57;80,11
2025-04-17 11:53:49.360851;93,76;106,86;156,16;162,52;161,72;142,98;61,97;48,08;92,64;117,67;79,89;86,67
2025-04-17 11:53:49.404735;94,34;107,32;154,97;161,81;160,58;142,91;61,53;47,13;93,64;105,11;78,53;89,55
2025-04-17 11:53:49.450701;94,55;107,38;154,41;161,84;160,44;142,87;61,44;45,58;93,57;110,01;78,63;90,93
2025-04-17 11:53:49.494882;94,09;107,31;154,18;161,96;159,82;142,87;61,40;44,79;93,65;112,86;78,55;91,12
2025-04-17 11:53:49.543881;94,13;107,05;154,41;162,54;159,80;142,65;61,19;49,27;92,14;122,55;80,18;90,97
2025-04-17 11:53:49.587450;94,21;107,02;154,65;162,74;160,11;142,80;61,84;59,03;93,35;129,64;79,10;82,15
2025-04-17 11:53:49.637935;94,22;107,13;154,83;162,74;160,47;142,89;62,46;59,28;95,31;128,31;77,12;78,87
2025-04-17 11:53:49.686479;94,02;107,14;155,86;162,72;161,60;142,83;61,57;59,40;92,74;127,45;79,57;59,50
2025-04-17 11:53:49.725480;94,05;107,31;155,95;162,41;162,21;142,88;61,64;57,51;93,91;122,47;78,39;56,95
2025-04-17 11:53:49.769114;94,65;107,29;155,78;162,05;162,50;143,01;61,00;55,14;92,11;116,36;80,13;65,18
2025-04-17 11:53:49.811295;95,10;108,08;155,46;160,53;162,88;143,84;61,57;54,64;94,03;113,13;78,38;68,44
2025-04-17 11:53:49.859280;94,72;107,75;155,78;161,12;162,85;144,43;61,28;55,40;92,43;115,25;80,03;71,44
2025-04-17 11:53:49.908405;95,89;109,90;153,18;159,42;161,36;144,44;64,98;49,99;101,82;98,90;71,58;85,92
2025-04-17 11:53:49.955905;95,98;109,95;153,19;159,60;161,14;144,35;64,20;51,89;98,67;105,95;74,51;83,80
2025-04-17 11:53:50.004452;95,59;109,46;155,52;159,95;163,26;144,43;64,44;56,33;98,96;117,80;74,44;77,21
2025-04-17 11:53:50.044427;95,08;109,22;155,58;159,76;163,39;143,94;62,77;58,35;94,32;115,37;79,25;75,37
2025-04-17 11:53:50.088975;94,77;108,19;155,67;160,41;163,65;143,89;59,88;59,83;87,11;115,04;86,04;74,27
2025-04-17 11:53:50.134571;94,09;108,07;156,06;160,81;163,08;143,76;64,38;66,12;97,97;130,10;75,99;68,62
2025-04-17 11:53:50.184137;93,92;107,99;156,61;160,84;163,75;143,88;62,50;65,39;93,78;128,80;79,83;67,25
2025-04-17 11:53:50.226172;93,68;106,44;157,30;161,63;164,37;143,25;62,52;66,78;93,40;132,93;80,03;58,72
2025-04-17 11:53:50.272187;94,09;106,85;156,58;160,98;164,09;143,65;61,62;55,07;91,54;104,72;81,59;70,18
2025-04-17 11:53:50.315237;94,23;107,08;155,68;161,55;163,09;143,06;61,96;41,64;91,47;108,14;81,46;73,88
2025-04-17 11:53:50.358211;93,96;107,01;156,52;161,65;163,50;143,03;62,40;54,49;92,58;126,71;80,57;46,85
2025-04-17 11:53:50.406808;93,44;107,40;155,82;161,89;162,10;143,39;62,60;56,27;94,78;128,36;78,05;48,70
2025-04-17 11:53:50.448785;94,77;109,53;154,83;159,78;163,31;145,21;62,25;47,12;97,72;103,63;74,98;70,91
2025-04-17 11:53:50.502454;94,24;108,86;156,84;159,76;165,99;145,41;60,88;49,62;95,01;106,32;77,59;58,50
2025-04-17 11:53:50.548318;98,20;112,85;150,47;157,48;161,93;145,50;61,60;56,01;103,81;91,20;74,49;78,39
2025-04-17 11:53:50.590848;99,56;113,44;147,76;157,38;159,53;145,55;60,47;62,13;101,23;61,69;77,83;113,55
2025-04-17 11:53:50.636893;99,24;113,86;144,83;156,80;155,73;146,07;51,96;69,57;72,62;44,47;102,28;132,98
2025-04-17 11:53:50.680572;100,07;115,62;140,28;154,99;151,06;149,13;52,94;76,75;74,32;38,07;99,78;141,73
2025-04-17 11:53:50.727570;100,42;116,41;140,27;152,57;151,15;150,05;51,19;78,11;72,09;38,41;101,27;140,27
2025-04-17 11:53:50.773458;100,19;114,74;140,22;147,28;147,89;159,43;47,60;82,31;55,93;34,55;117,86;145,12
2025-04-17 11:53:50.824807;102,49;114,78;138,04;145,19;146,38;162,21;43,07;82,91;56,45;36,44;113,18;142,58
2025-04-17 11:53:50.870846;100,47;114,62;134,81;138,34;139,93;162,43;45,93;80,07;56,20;37,17;113,78;142,49
2025-04-17 11:53:50.912950;97,52;113,71;134,23;138,65;138,29;158,08;50,74;79,14;42,67;40,18;127,29;135,37
2025-04-17 11:53:50.954952;99,15;114,30;134,15;135,28;139,05;157,19;49,89;84,19;45,05;38,50;124,28;139,26
2025-04-17 11:53:51.000066;98,20;111,00;134,22;121,49;138,96;150,11;51,48;83,18;53,85;35,96;113,29;142,82
2025-04-17 11:53:51.046142;100,23;114,22;128,26;123,74;131,03;148,74;53,70;89,27;66,49;34,29;100,31;146,66
2025-04-17 11:53:51.089774;99,79;112,05;126,04;112,25;128,66;136,60;52,09;90,72;66,70;34,12;98,64;148,40
2025-04-17 11:53:51.135169;103,64;110,87;121,74;102,92;126,18;127,88;55,90;90,48;77,06;34,15;86,86;148,24
2025-04-17 11:53:51.180370;99,35;105,59;117,30;92,39;120,55;117,53;61,11;86,61;87,29;35,42;74,98;146,28
2025-04-17 11:53:51.230755;97,47;104,38;111,37;88,24;112,92;113,29;58,97;84,03;87,42;37,18;74,62;142,99
2025-04-17 11:53:51.276192;101,97;110,06;98,57;77,71;101,13;102,32;61,25;90,46;90,90;37,67;66,17;146,01
2025-04-17 11:53:51.323319;111,59;115,11;78,13;62,50;84,96;85,29;60,05;100,54;90,55;40,15;60,08;144,74
2025-04-17 11:53:51.370025;113,27;115,76;74,02;59,64;81,47;82,44;66,54;100,38;94,94;41,67;59,28;140,43
2025-04-17 11:53:51.417055;112,67;115,83;71,96;57,26;78,36;82,14;69,19;99,28;102,70;39,83;49,63;144,15
2025-04-17 11:53:51.462176;107,47;109,96;78,99;63,67;85,72;88,72;73,96;94,17;106,53;40,92;57,47;142,02
2025-04-17 11:53:51.503704;109,58;110,38;76,74;61,98;79,77;81,17;71,48;98,88;105,45;42,57;48,91;140,23
2025-04-17 11:53:51.547799;109,45;109,44;76,52;61,58;79,77;82,42;79,51;97,71;110,08;42,04;58,47;138,30
2025-04-17 11:53:51.595414;108,80;108,29;71,22;57,92;76,43;78,12;71,05;97,99;106,36;43,79;48,31;140,98
2025-04-17 11:53:51.640323;105,96;107,93;72,38;56,52;76,98;75,96;65,04;99,33;99,79;46,68;52,17;139,58
2025-04-17 11:53:51.686098;108,26;110,60;71,09;53,29;73,08;70,90;77,83;104,65;109,75;46,43;50,45;137,37
2025-04-17 11:53:51.728252;110,83;115,10;66,52;50,06;62,35;62,55;78,67;112,57;107,41;45,45;51,44;142,22
2025-04-17 11:53:51.774199;106,51;113,57;70,81;51,91;61,66;63,42;81,20;110,38;110,94;44,71;51,16;138,83
2025-04-17 11:53:51.818794;111,20;117,93;64,84;47,98;57,66;56,97;89,86;114,74;118,53;45,99;68,86;138,80
2025-04-17 11:53:51.872276;105,55;115,12;70,02;51,64;59,94;60,37;83,85;110,84;113,89;47,76;57,25;136,81
2025-04-17 11:53:51.927277;105,87;114,75;68,22;51,45;60,17;59,41;82,80;110,75;113,84;49,29;62,27;136,36
2025-04-17 11:53:51.972044;108,57;116,38;64,73;48,96;54,23;51,00;90,57;116,84;115,50;52,22;72,40;134,89
