timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:58:37.025002;103,15;113,21;163,99;170,33;166,63;148,86;27,18;12,99;99,51;88,72;68,43;88,75
2025-04-17 11:58:37.067002;102,90;113,42;163,94;170,19;166,34;148,81;27,13;12,60;99,56;88,02;68,37;89,82
2025-04-17 11:58:37.112064;102,30;113,13;164,54;170,19;166,58;149,63;26,99;12,63;99,65;88,07;68,19;90,03
2025-04-17 11:58:37.209580;102,16;113,04;166,18;169,87;168,03;150,74;26,68;11,50;99,19;86,52;68,81;91,79
2025-04-17 11:58:37.254583;102,21;112,53;166,15;170,91;167,82;150,28;26,28;11,63;98,49;87,19;69,46;91,34
2025-04-17 11:58:37.305113;102,55;112,48;165,85;170,92;167,76;150,44;26,03;11,92;98,07;87,98;69,84;89,12
2025-04-17 11:58:37.351111;102,81;113,25;165,26;171,97;167,19;148,47;25,39;10,87;97,08;86,11;71,06;91,31
2025-04-17 11:58:37.394115;103,48;113,34;165,73;171,97;168,13;148,47;25,00;11,00;96,41;86,59;71,82;90,75
2025-04-17 11:58:37.444628;103,30;113,74;165,81;171,57;168,02;148,61;23,24;10,30;94,55;84,97;73,76;92,65
2025-04-17 11:58:37.486632;103,13;113,92;165,98;171,43;167,97;148,72;22,83;10,14;94,13;84,71;74,13;93,00
2025-04-17 11:58:37.534144;103,30;114,50;165,85;171,18;167,96;148,78;22,89;9,96;94,24;84,66;73,87;93,21
2025-04-17 11:58:37.584143;103,35;114,29;165,72;170,27;167,98;149,70;22,30;9,92;93,86;85,15;74,27;92,82
2025-04-17 11:58:37.632665;103,07;113,51;166,49;171,03;168,43;149,81;22,44;10,38;94,10;87,07;73,92;90,98
2025-04-17 11:58:37.679687;103,12;113,26;166,48;171,30;168,34;149,83;22,19;10,24;93,75;86,98;74,04;91,22
2025-04-17 11:58:37.729186;103,59;113,35;166,41;171,03;168,82;149,79;22,23;10,18;93,80;86,98;73,94;91,33
