timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:03:23.041615;106,30;122,98;134,71;157,35;155,66;156,25;55,22;21,49;124,39;77,31;116,41;105,59
2025-04-17 12:03:23.094625;106,00;122,99;135,27;157,37;155,92;156,22;55,35;21,63;124,54;77,14;116,70;105,80
2025-04-17 12:03:23.151146;105,76;122,99;135,47;157,57;155,87;156,20;55,66;20,84;124,93;77,61;117,18;105,33
2025-04-17 12:03:23.199683;105,71;122,77;135,38;157,65;155,59;156,30;55,80;20,70;125,01;77,74;117,12;105,18
2025-04-17 12:03:23.247681;105,84;122,96;135,69;157,85;156,39;156,10;55,85;21,46;125,45;77,11;117,62;105,81
2025-04-17 12:03:23.299213;105,60;122,88;136,16;158,02;156,59;156,02;56,20;21,63;125,73;76,93;117,98;105,96
2025-04-17 12:03:23.352213;105,82;122,47;136,08;158,97;156,00;155,37;56,85;21,87;125,87;76,76;117,72;106,04
2025-04-17 12:03:23.662818;106,35;123,37;135,60;159,23;155,97;154,35;56,78;21,94;125,86;76,70;117,81;106,10
2025-04-17 12:03:23.671814;106,08;123,28;133,06;158,97;152,74;154,44;56,56;21,32;125,43;77,26;117,19;105,44
2025-04-17 12:03:23.679819;106,26;122,69;133,02;159,45;152,85;154,66;56,58;21,41;125,48;77,17;117,19;105,55
2025-04-17 12:03:23.686832;105,53;122,48;135,66;160,08;155,14;154,55;56,54;20,61;125,50;77,66;117,15;105,04
2025-04-17 12:03:23.694833;105,56;122,78;135,26;160,12;154,20;154,67;56,51;20,78;125,54;77,48;117,09;105,24
2025-04-17 12:03:23.703357;105,74;122,58;136,93;160,07;156,68;154,78;56,00;20,51;125,28;77,92;117,07;104,93
2025-04-17 12:03:23.714356;105,72;122,68;134,41;159,57;153,87;154,83;55,94;20,19;125,24;78,20;116,84;104,65
2025-04-17 12:03:23.736356;105,60;122,55;134,33;159,76;153,73;154,49;56,12;20,80;125,38;77,61;116,89;105,26
