timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 11:57:34.005161;100,63;116,12;174,91;164,77;169,21;156,09;93,64;70,07;133,53;139,44;115,18;97,70
2025-04-17 11:57:34.050632;100,80;116,93;174,89;164,90;169,46;155,99;93,45;69,12;133,60;139,03;114,12;96,59
2025-04-17 11:57:34.103511;100,88;117,76;174,86;164,90;169,62;155,76;93,14;70,55;132,42;140,75;113,63;94,32
2025-04-17 11:57:34.155090;101,11;120,17;174,84;165,07;169,72;155,52;93,55;69,99;133,51;140,45;112,85;96,08
2025-04-17 11:57:34.205092;101,15;118,73;174,81;165,11;169,66;155,52;93,55;69,53;133,67;139,85;112,96;95,78
2025-04-17 11:57:34.251807;100,77;117,84;174,81;165,59;170,01;154,88;92,94;69,39;133,26;137,83;113,43;96,42
2025-04-17 11:57:34.301779;100,53;119,42;174,81;166,31;170,01;154,60;93,05;69,59;133,54;137,16;113,38;96,42
2025-04-17 11:57:34.352123;100,49;121,13;174,77;166,35;169,94;154,86;93,02;69,52;133,61;136,29;112,80;96,01
2025-04-17 11:57:34.400385;100,78;122,98;174,72;166,23;169,91;154,91;93,27;69,20;133,84;135,04;112,98;96,10
2025-04-17 11:57:34.446034;100,93;122,93;174,64;166,10;169,85;155,14;93,28;68,92;133,68;134,86;113,32;95,51
2025-04-17 11:57:34.497087;101,26;123,44;174,62;166,11;169,83;155,38;93,42;68,72;133,69;134,70;113,49;96,48
2025-04-17 11:57:34.549338;101,40;123,16;174,61;166,13;169,85;155,38;93,59;68,70;133,68;134,52;114,14;95,31
2025-04-17 11:57:34.606340;101,27;122,40;174,65;166,73;169,87;155,27;93,37;69,11;133,20;134,96;112,59;97,88
2025-04-17 11:57:34.653229;101,26;122,31;174,65;166,71;169,79;155,37;93,66;69,26;133,53;135,32;113,07;97,87
2025-04-17 11:57:34.700222;101,21;122,46;174,68;166,75;169,84;155,28;93,49;69,45;133,31;135,47;111,74;99,17
2025-04-17 11:57:34.751677;100,74;123,86;174,70;167,44;169,99;155,27;93,03;69,44;132,82;135,07;112,69;97,73
2025-04-17 11:57:34.807321;100,17;123,37;174,68;167,60;169,98;155,37;92,73;69,30;132,11;134,84;113,63;96,17
2025-04-17 11:57:34.854536;98,98;122,43;174,45;167,64;170,02;155,78;92,05;72,96;130,52;137,17;114,03;94,56
2025-04-17 11:57:34.898534;99,40;123,45;174,60;168,38;169,60;155,50;92,69;72,47;131,10;136,84;115,15;94,49
2025-04-17 11:57:34.945410;99,71;123,97;174,73;167,98;169,45;155,49;92,88;72,00;131,44;136,76;115,14;94,31
2025-04-17 11:57:34.991413;99,94;123,97;174,76;167,17;169,33;155,53;93,14;73,50;131,81;139,48;115,38;94,09
