timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:12:33.038157;95,25;112,15;170,85;175,68;179,65;147,59;76,78;72,46;53,80;145,69;121,56;104,51
2025-04-17 12:12:33.082163;95,34;111,38;170,89;175,56;179,58;147,56;76,73;71,47;53,62;145,06;121,79;100,75
2025-04-17 12:12:33.126707;95,44;111,83;171,16;175,47;179,30;147,51;76,73;71,51;53,60;145,05;121,82;101,42
2025-04-17 12:12:33.170708;95,44;111,93;171,08;175,52;179,35;147,52;76,76;71,58;53,78;145,20;121,35;99,82
2025-04-17 12:12:33.212877;95,53;113,94;170,88;175,83;179,73;147,25;76,80;71,60;53,79;144,53;121,18;91,83
2025-04-17 12:12:33.260876;95,62;114,14;170,83;176,10;179,78;147,05;76,77;71,68;53,76;144,49;121,11;92,72
2025-04-17 12:12:33.310626;95,79;114,19;170,69;176,10;179,85;147,05;76,82;72,76;53,93;145,80;120,87;106,60
2025-04-17 12:12:33.352625;95,88;114,71;170,55;176,10;179,73;147,33;76,84;72,71;53,99;145,62;120,70;99,10
2025-04-17 12:12:33.399150;95,99;114,25;170,80;175,79;179,89;146,38;76,84;72,58;54,41;145,52;120,63;94,83
2025-04-17 12:12:33.439163;95,99;114,08;170,76;175,52;179,91;146,61;76,82;72,63;54,48;145,66;120,39;93,43
2025-04-17 12:12:33.499695;95,89;113,60;170,26;175,73;179,54;147,03;76,75;72,65;54,13;145,79;120,57;94,07
2025-04-17 12:12:33.545695;96,05;113,06;170,34;175,56;179,34;146,92;76,75;77,88;53,82;147,52;121,28;76,24
2025-04-17 12:12:33.591214;96,07;113,03;171,02;175,61;179,97;146,91;76,77;76,18;53,94;146,82;120,96;83,69
2025-04-17 12:12:33.632214;95,66;112,91;170,89;175,84;179,84;147,03;76,74;74,85;53,77;145,98;121,02;85,67
2025-04-17 12:12:33.676234;95,52;112,92;171,46;175,89;179,09;146,89;76,83;74,60;54,19;145,72;120,40;86,26
2025-04-17 12:12:33.720753;95,52;112,80;170,93;175,93;179,48;147,43;76,74;74,76;53,90;146,73;120,43;106,04
2025-04-17 12:12:33.762751;95,55;112,69;170,66;175,95;179,66;147,68;76,69;74,86;53,78;147,25;120,39;108,01
2025-04-17 12:12:33.807888;95,57;112,16;170,72;175,95;179,60;147,59;76,68;74,80;53,77;146,98;120,46;103,43
2025-04-17 12:12:33.903981;97,05;114,35;165,99;176,05;173,87;149,18;75,87;85,47;47,25;157,69;126,46;145,75
2025-04-17 12:12:33.945982;97,33;117,87;165,98;175,57;173,47;148,88;76,17;85,48;47,05;158,50;126,98;145,39
2025-04-17 12:12:33.992573;97,32;128,31;166,10;175,77;173,09;148,28;76,80;85,28;46,92;158,94;127,27;145,65
2025-04-17 12:12:34.037573;96,66;129,99;166,09;175,63;172,81;148,00;76,95;85,21;46,83;159,42;127,38;146,91
2025-04-17 12:12:34.079601;97,06;129,73;166,90;175,53;172,60;147,54;76,90;85,00;46,18;159,04;128,54;146,19
2025-04-17 12:12:34.124133;96,09;130,32;167,27;175,35;172,73;147,45;77,15;85,63;46,35;159,47;128,50;147,70
2025-04-17 12:12:34.165119;95,70;129,31;167,38;175,18;172,80;146,80;77,12;86,20;46,37;160,19;128,63;149,90
2025-04-17 12:12:34.212374;94,99;126,08;167,99;175,10;172,54;146,31;77,25;87,27;49,77;161,86;124,99;152,71
2025-04-17 12:12:34.255371;94,73;120,68;167,23;174,41;171,45;147,50;76,20;88,20;50,57;161,77;124,82;152,43
2025-04-17 12:12:34.319894;91,66;112,78;165,71;173,86;170,51;149,48;74,84;88,54;48,79;161,33;126,94;154,60
2025-04-17 12:12:34.364893;91,70;107,41;166,81;173,51;170,56;149,13;74,33;88,72;50,83;161,57;124,87;154,75
2025-04-17 12:12:34.411412;91,48;109,81;166,54;173,07;169,82;148,84;74,58;89,28;54,42;161,94;120,87;154,87
2025-04-17 12:12:34.456409;92,96;108,51;167,77;171,86;169,56;149,63;75,33;91,45;56,49;163,45;118,45;157,07
2025-04-17 12:12:34.538692;90,80;112,17;165,97;170,42;168,86;148,99;77,02;96,52;60,82;163,60;112,90;155,19
2025-04-17 12:12:34.580701;90,44;112,48;165,59;170,41;168,13;148,59;77,56;97,24;61,59;163,52;111,92;155,77
2025-04-17 12:12:34.625217;92,04;108,86;166,00;170,89;167,80;148,48;78,57;97,71;65,47;163,49;107,94;154,55
2025-04-17 12:12:34.708742;91,99;108,42;167,46;168,57;165,13;147,89;76,92;91,45;61,51;162,44;113,73;155,53
2025-04-17 12:12:34.761742;90,95;106,16;165,89;167,84;164,29;147,46;76,13;92,79;61,91;162,56;112,76;156,78
