timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:14:48.038997;112,43;116,28;138,16;133,43;171,48;170,96;36,12;35,01;90,23;95,54;127,47;125,19
2025-04-17 12:14:48.086008;112,38;116,24;138,08;133,55;171,53;170,90;35,71;34,26;89,83;95,92;127,08;123,72
2025-04-17 12:14:48.134016;112,69;116,60;137,80;133,15;171,51;170,81;36,88;34,12;90,05;95,70;127,40;122,65
2025-04-17 12:14:48.181531;112,95;116,64;137,53;133,09;171,48;170,78;37,14;33,92;90,31;95,45;127,26;122,02
2025-04-17 12:14:48.381589;113,79;117,25;136,60;132,25;171,38;170,56;37,55;34,77;90,26;96,13;126,64;121,36
2025-04-17 12:14:48.433606;113,96;117,44;136,38;132,13;171,31;170,55;38,27;34,23;91,11;95,78;126,76;120,35
2025-04-17 12:14:48.480124;114,08;117,57;136,21;132,04;171,25;170,54;38,62;33,95;91,60;95,62;126,70;119,71
2025-04-17 12:14:48.533138;114,90;118,41;135,46;131,00;170,89;170,24;40,10;35,03;92,64;95,15;125,97;119,74
2025-04-17 12:14:48.582701;114,52;117,91;135,04;130,16;171,45;170,94;40,68;36,36;92,99;98,28;128,78;122,83
2025-04-17 12:14:48.629709;113,83;117,43;135,77;130,19;171,47;171,14;41,09;36,81;93,34;99,63;129,55;123,97
2025-04-17 12:14:48.679231;115,51;119,09;134,13;128,16;171,00;170,34;43,23;38,63;95,08;99,57;127,79;122,52
2025-04-17 12:14:48.732239;115,57;118,87;133,93;127,96;171,09;170,35;42,48;40,57;94,60;100,60;126,91;124,16
2025-04-17 12:14:48.832337;117,39;120,08;132,14;126,43;170,99;170,10;42,18;43,57;95,46;100,30;122,94;125,91
2025-04-17 12:14:48.887879;117,13;119,96;133,11;126,59;171,32;170,55;41,80;43,97;96,82;98,72;121,75;125,04
2025-04-17 12:14:48.939400;118,10;120,71;132,86;126,21;171,17;169,78;44,13;48,30;95,94;99,44;121,31;125,31
2025-04-17 12:14:48.991419;117,54;120,38;133,23;126,59;171,17;169,84;44,69;48,47;96,01;99,55;121,64;124,10
2025-04-17 12:14:49.038429;117,37;120,45;133,38;126,50;170,73;169,30;45,84;49,63;96,71;99,31;121,24;122,98
2025-04-17 12:14:49.086976;117,07;120,54;133,56;126,57;170,89;169,60;45,94;48,17;97,18;99,44;120,90;121,66
2025-04-17 12:14:49.136983;117,06;120,44;133,29;126,65;170,90;169,69;45,22;48,65;97,34;99,69;119,97;122,43
2025-04-17 12:14:49.187526;117,80;120,69;132,61;126,89;170,92;169,46;44,97;50,46;96,11;101,46;118,47;122,00
2025-04-17 12:14:49.286679;117,62;119,78;130,27;125,68;170,60;168,24;45,79;51,51;93,80;105,76;116,57;120,50
2025-04-17 12:14:49.383717;116,98;119,03;131,21;126,11;171,24;168,75;45,29;51,60;91,68;108,62;117,48;120,94
2025-04-17 12:14:49.428731;117,02;119,34;131,20;125,76;170,98;168,39;47,44;52,95;92,00;108,49;119,92;121,75
2025-04-17 12:14:49.478255;117,45;119,43;130,40;125,48;170,53;168,12;49,85;53,58;93,01;107,68;122,17;121,63
2025-04-17 12:14:49.524256;116,60;118,59;131,38;126,21;171,10;169,80;49,47;51,96;95,63;105,28;122,33;123,21
2025-04-17 12:14:49.578785;112,10;113,83;134,08;128,57;169,48;170,70;47,78;51,89;92,30;108,00;130,69;132,86
2025-04-17 12:14:49.689325;110,91;113,07;134,08;128,97;169,48;170,42;50,01;53,59;93,03;107,21;135,12;136,14
2025-04-17 12:14:49.736334;111,43;113,37;133,84;128,87;169,01;170,63;49,98;54,04;90,70;110,05;136,09;135,68
2025-04-17 12:14:49.783801;110,25;112,11;134,45;129,93;168,64;170,60;52,45;56,04;87,94;111,98;141,08;141,04
2025-04-17 12:14:49.836986;109,99;112,26;134,48;129,69;168,94;170,93;53,68;60,02;85,41;113,13;143,57;147,37
2025-04-17 12:14:49.888510;109,49;111,75;134,83;129,75;168,93;170,93;52,62;59,64;86,69;111,85;142,91;147,92
2025-04-17 12:14:49.946041;109,49;111,60;134,44;129,49;169,78;171,05;55,86;60,82;89,14;108,25;145,66;150,10
2025-04-17 12:14:49.995038;109,09;110,70;133,23;129,08;171,14;171,71;59,87;63,35;89,66;106,11;148,50;155,18
2025-04-17 12:14:50.046571;109,65;111,11;132,65;129,86;172,29;171,91;68,22;67,69;93,77;96,71;154,27;158,24
2025-04-17 12:14:50.104571;108,54;110,27;133,63;130,85;172,62;172,04;69,08;68,69;92,94;95,95;156,14;158,88
2025-04-17 12:14:50.151093;109,45;108,50;133,39;135,44;171,52;172,13;77,21;76,23;92,94;95,01;160,29;161,40
2025-04-17 12:14:50.200096;109,95;107,25;133,44;137,99;169,72;171,92;81,92;80,14;95,20;92,09;160,98;161,63
2025-04-17 12:14:50.252629;109,58;107,53;133,38;137,73;170,96;172,11;79,81;78,94;91,50;95,60;158,58;160,77
2025-04-17 12:14:50.302629;109,82;108,12;133,18;137,04;170,96;171,61;80,66;80,67;88,93;97,49;157,43;160,86
2025-04-17 12:14:50.352170;109,69;107,24;133,04;138,03;171,39;171,90;80,80;80,74;86,61;99,26;156,86;160,34
2025-04-17 12:14:50.404172;108,74;106,94;133,02;138,01;170,47;172,07;81,93;80,20;89,75;95,58;158,29;159,50
2025-04-17 12:14:50.451683;109,86;109,07;132,80;136,94;167,67;171,46;86,57;83,32;98,24;86,22;160,69;159,94
2025-04-17 12:14:50.507729;112,16;110,77;131,29;135,75;167,61;170,98;87,56;85,29;97,21;87,01;160,79;160,59
2025-04-17 12:14:50.565217;112,16;110,64;132,19;137,43;167,28;171,48;89,12;85,70;105,76;78,25;161,83;161,10
2025-04-17 12:14:50.617224;110,13;107,41;133,78;138,47;171,69;172,01;82,35;81,84;98,87;85,48;156,42;158,00
2025-04-17 12:14:50.671257;110,14;107,56;133,70;138,00;171,68;171,74;82,29;82,68;95,56;88,74;157,36;158,27
2025-04-17 12:14:50.780787;111,60;110,35;133,64;136,56;170,74;171,37;85,32;84,86;99,44;84,88;158,48;159,78
2025-04-17 12:14:50.890312;110,05;109,74;134,34;136,43;171,07;171,64;84,01;81,01;109,64;74,77;156,89;159,04
2025-04-17 12:14:50.937326;109,49;108,53;134,63;135,87;172,52;171,53;81,15;81,22;98,43;86,13;156,51;159,00
2025-04-17 12:14:50.984838;108,87;107,97;135,07;135,47;173,28;171,58;78,06;79,48;93,19;91,57;155,65;158,05
2025-04-17 12:14:51.035853;108,89;108,15;134,78;135,23;173,22;171,57;78,29;79,85;90,45;94,21;156,62;158,67
2025-04-17 12:14:51.087375;107,53;107,57;135,92;134,90;173,19;171,78;76,09;77,22;90,97;93,79;155,64;157,43
2025-04-17 12:14:51.140376;108,01;108,20;135,51;134,66;173,17;171,79;77,54;77,76;93,62;91,18;155,77;157,83
2025-04-17 12:14:51.187891;108,17;108,09;134,91;134,59;172,90;171,88;76,91;77,03;92,09;93,30;156,84;156,93
2025-04-17 12:14:51.237904;107,93;108,15;135,06;134,64;172,47;171,72;77,39;78,03;87,20;99,23;158,52;157,69
2025-04-17 12:14:51.292442;107,82;108,32;135,08;134,72;172,48;171,82;76,33;76,28;88,03;99,66;159,39;156,46
2025-04-17 12:14:51.338440;107,37;108,21;135,57;134,97;172,66;171,99;73,19;73,88;88,05;100,05;157,51;155,26
2025-04-17 12:14:51.382962;107,43;108,03;135,43;134,46;172,68;171,94;70,05;70,25;94,82;94,77;152,72;151,69
2025-04-17 12:14:51.429970;107,42;108,09;135,43;134,45;172,52;171,87;67,65;70,16;90,37;99,16;151,79;152,79
2025-04-17 12:14:51.479488;107,50;108,84;135,16;132,56;172,18;171,94;65,15;68,70;87,86;102,64;150,05;152,20
2025-04-17 12:14:51.543017;108,26;109,41;135,71;131,66;170,25;171,59;59,52;62,71;87,43;105,58;143,90;145,06
2025-04-17 12:14:51.591121;108,59;110,42;136,48;130,64;168,11;170,74;49,65;50,96;90,66;107,86;133,73;129,85
2025-04-17 12:14:51.639028;109,41;111,28;136,03;129,83;167,69;170,58;47,64;48,51;90,38;108,71;132,21;125,54
2025-04-17 12:14:51.687553;109,48;111,57;135,93;129,56;167,83;170,41;47,63;47,68;91,43;107,67;131,86;124,37
2025-04-17 12:14:51.741062;109,81;111,94;135,58;129,18;167,79;170,38;46,21;46,67;91,10;108,49;130,84;124,98
2025-04-17 12:14:51.791076;110,22;113,22;135,06;128,16;168,21;170,25;44,34;44,11;91,38;108,10;129,42;122,65
2025-04-17 12:14:51.836083;111,62;114,53;133,75;127,28;169,37;170,23;45,51;44,40;94,57;105,18;128,66;123,61
2025-04-17 12:14:51.893608;112,55;115,10;133,02;127,69;170,41;170,43;45,79;44,88;96,80;103,79;126,23;123,04
2025-04-17 12:14:51.945144;112,28;114,60;133,49;129,99;170,49;169,55;43,93;43,18;97,68;103,15;122,10;120,57
2025-04-17 12:14:52.002148;113,40;116,00;132,36;128,99;171,35;170,79;46,00;45,08;101,15;100,86;117,17;117,09
2025-04-17 12:14:52.053705;117,26;119,21;129,06;126,99;168,01;168,28;51,02;49,95;98,15;103,36;115,53;114,13
2025-04-17 12:14:52.103685;118,08;120,02;129,24;127,94;166,80;167,96;52,16;51,27;99,38;101,48;114,00;114,47
2025-04-17 12:14:52.160432;117,83;120,02;129,15;127,79;167,23;168,43;51,11;50,48;99,76;100,40;114,31;114,94
2025-04-17 12:14:52.211710;118,81;120,88;128,49;127,56;165,92;167,42;51,15;50,93;99,94;100,35;113,44;113,75
2025-04-17 12:14:52.256245;119,42;121,33;127,87;126,87;166,32;167,39;50,16;50,73;99,17;100,36;113,41;114,62
2025-04-17 12:14:52.304244;119,21;121,26;128,55;127,48;166,12;167,54;50,66;51,30;100,14;98,97;113,98;115,28
2025-04-17 12:14:52.350783;118,81;121,07;128,83;127,31;166,32;167,47;50,66;51,08;100,18;98,76;114,84;115,03
2025-04-17 12:14:52.406784;119,24;121,70;128,75;126,79;165,18;166,51;51,43;51,74;101,02;97,73;114,72;115,08
2025-04-17 12:14:52.466873;119,79;121,97;128,14;126,29;165,38;166,19;51,18;52,57;100,50;97,79;116,16;115,95
2025-04-17 12:14:52.513890;119,49;121,82;128,57;126,36;165,35;165,88;50,75;52,53;100,42;97,66;117,40;115,81
2025-04-17 12:14:52.574443;119,57;121,85;128,75;126,30;165,07;165,59;50,86;52,24;101,07;96,90;117,74;116,23
2025-04-17 12:14:52.619443;118,73;121,30;128,37;125,30;165,12;165,68;50,47;47,86;100,22;97,04;120,50;117,07
2025-04-17 12:14:52.666987;118,34;120,91;128,82;124,83;165,34;166,18;48,71;46,54;101,67;95,07;120,45;118,45
2025-04-17 12:14:52.718972;118,01;120,14;128,76;124,67;166,41;167,19;46,05;44,38;101,86;93,93;120,10;119,05
2025-04-17 12:14:52.774507;118,23;120,30;128,18;124,36;164,81;166,65;49,18;45,71;103,75;91,13;121,95;120,40
2025-04-17 12:14:52.828514;118,06;120,00;127,63;123,73;164,67;165,89;48,62;45,52;102,55;92,09;122,30;121,24
2025-04-17 12:14:52.878129;117,59;119,61;128,09;123,56;166,74;166,67;46,87;45,50;99,59;94,08;122,86;123,09
2025-04-17 12:14:52.929043;117,06;119,31;128,64;123,50;167,78;167,76;45,87;43,17;99,35;93,73;123,43;125,10
2025-04-17 12:14:52.980567;117,39;119,68;128,08;123,09;167,35;167,48;46,20;44,03;98,48;94,25;123,04;126,75
