timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:17:57.032298;116,99;121,51;133,32;126,55;165,78;162,68;30,64;19,46;92,63;93,33;116,79;102,23
2025-04-17 12:17:57.076305;116,97;121,52;133,29;126,57;164,89;161,68;29,86;18,45;92,73;93,01;115,22;100,21
2025-04-17 12:17:57.128797;117,79;122,56;133,49;125,78;161,66;158,46;21,37;7,87;94,18;92,03;103,97;88,98
2025-04-17 12:17:57.176787;117,70;122,54;133,59;125,22;162,66;160,19;29,44;10,64;94,36;92,64;111,00;93,13
2025-04-17 12:17:57.222304;117,61;122,46;133,54;125,37;164,85;161,93;34,38;17,02;93,58;92,72;118,29;100,12
2025-04-17 12:17:57.266302;117,37;122,70;133,57;124,05;165,98;162,60;37,59;18,93;93,47;92,86;121,49;103,49
2025-04-17 12:17:57.310796;117,23;122,63;133,94;124,20;167,31;164,00;37,48;21,00;93,42;92,92;120,67;104,83
2025-04-17 12:17:57.357795;116,80;121,49;134,72;127,75;169,35;167,16;35,08;23,66;92,13;94,01;120,61;106,73
2025-04-17 12:17:57.450320;116,61;120,90;135,11;129,18;169,11;166,94;32,87;22,41;93,48;94,18;118,32;107,82
2025-04-17 12:17:57.493835;116,63;120,76;135,23;128,88;169,27;166,80;32,87;24,42;94,07;95,04;117,78;108,99
2025-04-17 12:17:57.540835;116,89;121,09;135,37;127,69;169,62;167,04;35,08;25,37;95,40;95,16;116,84;110,94
2025-04-17 12:17:57.590361;116,18;120,41;136,07;127,60;170,71;168,40;35,92;23,78;96,38;95,66;118,43;111,07
2025-04-17 12:17:57.648359;115,85;120,97;136,33;125,99;170,75;168,20;37,32;25,02;97,58;97,08;119,18;112,13
2025-04-17 12:17:57.697876;115,40;120,88;136,62;126,27;171,00;168,82;38,03;26,64;97,76;97,83;120,56;113,38
2025-04-17 12:17:57.750877;115,31;120,93;137,86;127,00;171,66;169,45;38,85;26,89;97,60;98,56;120,75;113,16
2025-04-17 12:17:57.793402;115,58;120,25;138,80;129,24;172,04;170,49;39,66;25,94;97,39;98,74;121,38;111,93
2025-04-17 12:17:57.845401;115,99;120,37;138,20;129,34;171,76;170,42;40,68;26,19;97,67;99,24;121,80;111,64
2025-04-17 12:17:57.892732;116,18;120,45;137,65;129,55;171,86;170,58;41,39;35,61;95,96;100,84;123,48;120,34
2025-04-17 12:17:57.939734;117,33;121,15;136,41;129,31;171,65;170,23;41,65;40,19;95,29;102,32;122,35;122,11
2025-04-17 12:17:57.989250;118,15;121,80;136,33;128,54;171,45;169,27;42,30;41,25;94,39;103,07;121,07;121,60
2025-04-17 12:17:58.034263;119,27;122,22;136,74;129,61;172,01;170,46;43,10;44,86;93,01;104,84;118,07;122,09
2025-04-17 12:17:58.079261;119,00;121,45;136,39;130,31;172,04;171,52;43,93;43,95;91,85;105,94;117,30;121,49
2025-04-17 12:17:58.129780;120,21;121,62;134,21;130,19;171,79;171,99;44,43;44,63;92,05;105,81;113,84;120,70
2025-04-17 12:17:58.172779;119,72;122,46;134,48;127,76;171,61;170,91;43,66;44,80;92,35;106,12;113,43;118,57
2025-04-17 12:17:58.224299;119,71;122,36;133,90;127,76;171,43;171,02;44,11;46,34;93,61;105,83;111,33;118,83
2025-04-17 12:17:58.269295;119,64;121,76;134,04;128,40;171,69;171,50;44,06;45,89;93,79;106,35;112,16;116,93
2025-04-17 12:17:58.313812;120,43;121,87;132,99;128,54;171,42;171,09;44,73;47,38;93,26;107,68;112,46;116,05
2025-04-17 12:17:58.359814;120,65;122,09;130,75;125,20;170,59;169,09;45,77;46,67;93,68;108,32;112,73;114,92
2025-04-17 12:17:58.407337;117,47;118,90;131,50;126,87;172,55;172,78;47,35;47,59;92,82;109,45;120,59;122,12
2025-04-17 12:17:58.449337;117,21;118,74;130,71;126,42;172,64;172,89;47,74;47,01;93,66;109,07;121,65;122,46
2025-04-17 12:17:58.495852;116,77;118,36;129,94;125,00;172,39;172,17;48,32;46,51;93,77;108,66;121,60;121,64
2025-04-17 12:17:58.540854;115,52;117,23;131,46;125,73;172,90;173,31;46,40;44,56;92,61;110,50;123,41;121,13
2025-04-17 12:17:58.590111;115,40;117,28;131,64;126,30;172,84;173,61;48,70;44,14;94,27;107,84;126,41;121,90
2025-04-17 12:17:58.643154;115,11;116,78;131,99;125,98;172,60;173,62;48,95;44,62;91,05;111,21;127,33;121,76
2025-04-17 12:17:58.687165;113,92;115,85;131,61;128,62;172,83;172,83;69,73;69,56;79,17;117,35;151,53;153,11
2025-04-17 12:17:58.737673;113,69;115,49;131,33;126,24;173,55;171,56;67,83;71,71;75,15;122,51;150,31;157,00
2025-04-17 12:17:58.791189;113,76;115,30;131,17;126,57;173,92;172,18;68,60;72,01;71,88;125,43;150,73;157,46
2025-04-17 12:17:58.843189;112,62;116,38;131,71;125,52;171,60;169,96;77,93;78,33;75,03;119,53;155,75;161,97
2025-04-17 12:17:58.891704;113,09;116,62;131,37;125,56;170,26;169,45;80,19;80,58;77,85;116,71;156,06;164,31
2025-04-17 12:17:58.940705;114,58;115,46;131,75;131,27;170,41;172,46;83,53;80,63;79,49;109,43;159,02;161,10
2025-04-17 12:17:58.991247;115,28;116,30;131,66;130,49;169,15;170,75;85,34;81,29;80,66;108,34;160,12;157,09
2025-04-17 12:17:59.089250;114,61;117,05;133,60;131,50;171,28;172,27;82,62;77,78;79,65;109,24;157,79;152,63
2025-04-17 12:17:59.134320;114,76;116,53;133,75;131,68;172,30;173,16;80,07;75,61;79,60;109,53;155,90;151,17
2025-04-17 12:17:59.182324;115,33;116,83;134,47;131,58;173,13;173,68;79,39;72,28;79,10;109,56;155,29;144,45
2025-04-17 12:17:59.234856;115,17;115,93;134,21;130,56;173,98;173,47;74,91;69,42;72,56;115,60;151,39;140,09
2025-04-17 12:17:59.328350;114,08;115,61;135,26;131,02;174,11;174,26;74,12;65,39;75,38;111,20;148,55;135,55
2025-04-17 12:17:59.377356;116,01;117,75;134,43;130,55;173,63;172,80;78,21;69,56;75,66;109,97;149,30;135,06
2025-04-17 12:17:59.419867;117,69;119,49;133,67;130,58;171,60;172,23;84,08;73,35;81,71;103,64;151,44;139,01
2025-04-17 12:17:59.465866;116,92;118,68;134,77;130,91;173,04;172,34;82,04;71,31;78,04;107,04;149,72;134,95
2025-04-17 12:17:59.512381;116,77;117,97;134,99;131,41;173,50;173,23;81,52;68,88;80,20;103,59;150,21;132,97
2025-04-17 12:17:59.561382;115,90;117,19;134,32;131,96;172,55;173,17;82,63;72,52;81,55;102,70;151,12;139,55
2025-04-17 12:17:59.604901;114,11;115,62;134,02;130,36;172,80;173,40;75,77;68,04;85,26;101,92;141,55;136,91
2025-04-17 12:17:59.650901;114,19;115,88;134,04;130,65;173,52;174,50;73,12;65,64;87,23;101,21;139,48;135,75
2025-04-17 12:17:59.704417;114,32;116,45;134,09;132,08;172,42;173,95;80,48;70,64;85,62;101,86;150,44;140,22
2025-04-17 12:17:59.757418;115,07;116,55;133,49;132,46;171,27;173,19;83,75;73,38;87,16;100,23;155,48;143,73
2025-04-17 12:17:59.799945;114,58;115,63;133,45;133,29;171,26;173,14;83,25;73,38;85,39;102,40;155,89;144,40
2025-04-17 12:17:59.854946;114,83;116,02;132,85;131,52;172,01;172,27;74,76;69,17;83,54;106,14;145,11;137,61
