timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:17:57.044318;105,41;114,96;151,27;158,90;159,02;169,37;54,15;11,70;117,78;111,33;121,78;97,67
2025-04-17 12:17:57.092797;105,76;115,26;150,99;158,65;158,99;169,30;55,62;11,09;119,32;110,75;123,15;96,65
2025-04-17 12:17:57.137780;106,30;116,25;149,65;158,16;158,26;168,46;57,77;10,28;121,40;110,03;124,87;95,54
2025-04-17 12:17:57.190322;106,50;116,14;149,07;157,81;158,16;167,54;57,50;10,34;121,13;108,99;124,95;95,91
2025-04-17 12:17:57.239302;106,16;115,61;149,58;158,03;158,89;166,32;57,38;9,73;121,65;107,22;126,12;96,36
2025-04-17 12:17:57.288309;106,02;115,29;150,89;158,02;160,64;167,16;57,11;8,22;121,58;106,50;125,61;94,46
2025-04-17 12:17:57.340796;106,31;115,58;150,70;157,66;160,83;167,57;56,73;6,78;121,26;105,80;125,60;94,14
2025-04-17 12:17:57.388312;106,98;117,69;149,70;158,47;160,83;164,85;56,28;2,22;120,52;102,40;125,69;93,80
2025-04-17 12:17:57.441319;108,04;118,24;146,98;159,46;158,86;163,97;55,77;1,29;119,52;102,11;125,17;93,28
2025-04-17 12:17:57.487324;109,21;118,66;145,88;159,22;159,03;164,84;55,41;2,80;118,97;100,60;124,76;93,60
2025-04-17 12:17:57.536834;108,87;117,80;146,42;161,12;158,12;164,05;53,78;1,97;115,95;103,75;123,55;90,85
2025-04-17 12:17:57.580846;109,23;119,53;145,91;159,96;155,02;165,10;54,10;3,44;113,22;108,40;121,91;85,67
2025-04-17 12:17:57.642358;110,20;120,92;145,81;158,73;155,54;165,11;54,01;6,35;112,98;111,68;121,48;81,08
2025-04-17 12:17:57.691876;110,92;121,28;145,21;159,13;155,76;164,16;53,37;8,81;112,68;113,24;120,83;77,63
2025-04-17 12:17:57.741877;111,23;121,89;142,68;160,59;153,29;160,32;53,06;10,97;112,23;114,01;118,49;77,52
2025-04-17 12:17:57.795405;111,32;122,18;142,17;160,21;152,70;160,57;53,09;11,10;112,21;114,07;117,35;77,62
2025-04-17 12:17:57.847403;109,06;120,98;141,56;162,75;150,56;158,56;52,23;12,24;111,84;114,58;114,20;77,22
2025-04-17 12:17:57.890732;109,77;121,83;143,06;163,82;153,29;156,12;52,70;10,85;113,18;111,17;111,81;78,37
2025-04-17 12:17:57.944734;109,94;122,02;143,32;164,57;154,14;153,35;49,89;7,69;111,04;97,46;98,62;89,71
2025-04-17 12:17:57.993258;109,91;122,04;143,01;164,58;154,92;152,51;47,34;15,22;109,96;86,41;95,08;99,10
2025-04-17 12:17:58.041260;111,17;121,13;143,48;168,05;154,98;148,41;43,63;32,80;105,31;68,25;76,83;116,27
2025-04-17 12:17:58.091801;111,29;122,81;141,77;166,79;153,45;145,97;43,66;28,89;105,61;70,68;75,73;115,19
2025-04-17 12:17:58.134780;111,32;123,13;142,38;165,77;154,34;147,18;43,91;26,79;105,58;74,08;75,91;113,05
2025-04-17 12:17:58.179784;110,99;123,48;142,66;163,24;154,67;149,31;45,45;31,64;106,67;72,45;80,63;116,15
2025-04-17 12:17:58.227295;110,76;123,45;142,91;163,45;154,80;147,39;45,30;31,79;106,77;71,16;80,46;117,53
2025-04-17 12:17:58.278301;110,67;124,25;142,42;160,51;156,17;148,55;45,53;38,66;107,95;66,43;82,50;123,27
2025-04-17 12:17:58.326813;112,53;125,93;141,85;157,86;156,27;150,80;47,00;40,51;108,35;67,10;80,98;123,57
2025-04-17 12:17:58.380817;112,96;126,25;141,06;158,14;155,82;150,28;47,38;42,93;108,37;64,81;80,79;125,61
2025-04-17 12:17:58.439336;113,35;126,80;140,06;158,38;154,72;149,47;49,94;47,89;110,12;60,69;80,72;130,44
2025-04-17 12:17:58.498854;113,82;127,87;138,86;157,15;153,78;149,88;56,57;50,53;115,88;59,86;85,27;131,99
2025-04-17 12:17:58.553853;114,33;127,90;137,03;156,71;151,75;149,48;63,71;51,69;121,56;59,23;87,21;133,95
