timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:13:45.020952;101,76;133,19;177,32;170,13;174,53;147,03;88,03;81,35;122,64;122,70;121,27;98,67
2025-04-17 12:13:45.079761;101,74;133,62;177,30;170,14;174,52;147,19;88,13;81,37;122,83;122,54;121,18;98,94
2025-04-17 12:13:45.129761;101,70;133,95;177,35;169,98;174,73;147,52;88,17;81,01;122,81;121,46;121,26;99,20
2025-04-17 12:13:45.185691;101,50;133,31;177,35;170,10;174,94;148,06;88,25;81,04;122,95;121,49;121,21;99,24
2025-04-17 12:13:45.231659;101,58;133,63;177,33;170,04;174,97;148,25;88,39;81,11;123,01;122,13;121,29;98,73
2025-04-17 12:13:45.280354;101,43;133,98;177,33;170,16;174,74;147,99;87,98;81,11;122,11;121,83;120,67;98,72
2025-04-17 12:13:45.328369;101,26;133,96;177,28;169,71;174,89;148,09;87,79;81,11;121,97;121,51;120,90;98,96
2025-04-17 12:13:45.380988;101,21;133,69;177,28;169,64;174,83;148,31;87,80;80,93;122,01;121,28;121,11;99,23
2025-04-17 12:13:45.427992;101,85;133,61;177,28;168,64;174,83;147,97;87,74;80,77;121,95;120,73;121,33;99,40
2025-04-17 12:13:45.522643;102,43;133,30;177,28;168,80;175,41;148,16;87,73;80,52;122,00;120,04;121,61;99,78
2025-04-17 12:13:45.567838;102,06;133,01;177,30;169,17;175,37;148,16;87,60;80,53;121,91;119,97;121,60;99,85
2025-04-17 12:13:45.616210;101,80;132,56;177,28;169,85;175,54;148,42;87,38;80,53;121,61;119,54;121,41;100,28
2025-04-17 12:13:45.666650;101,89;132,40;177,27;169,43;175,24;148,15;87,48;80,72;121,83;120,25;121,33;99,86
2025-04-17 12:13:45.717717;101,68;132,70;177,18;169,53;174,32;147,51;87,61;80,90;122,20;120,96;121,27;99,63
2025-04-17 12:13:45.761774;101,75;132,56;177,16;169,46;174,19;147,57;87,83;80,79;122,65;120,88;121,45;99,49
2025-04-17 12:13:45.815485;101,39;132,44;177,13;169,56;173,80;147,68;87,86;80,70;122,64;120,93;121,71;99,52
2025-04-17 12:13:45.874677;101,19;131,53;176,98;169,41;173,63;147,87;87,73;80,12;122,55;119,09;122,63;100,45
2025-04-17 12:13:45.924779;101,36;131,71;176,93;169,34;173,44;147,95;88,12;80,24;123,09;119,81;122,48;100,79
2025-04-17 12:13:45.983495;102,18;131,26;176,63;168,57;173,53;147,71;88,01;80,24;123,00;119,73;122,83;100,34
2025-04-17 12:13:46.032336;102,12;131,01;176,85;168,93;173,82;147,93;87,98;80,25;122,98;119,68;122,81;100,34
2025-04-17 12:13:46.081925;103,26;131,48;176,16;168,35;173,21;146,93;88,41;79,96;123,00;119,74;123,06;99,75
2025-04-17 12:13:46.128912;102,94;130,73;176,38;168,43;173,52;147,29;87,98;79,93;122,49;119,32;122,36;100,26
2025-04-17 12:13:46.171558;102,71;130,80;175,99;168,71;172,94;147,24;87,92;79,88;122,42;119,44;122,59;100,19
2025-04-17 12:13:46.216517;102,40;130,33;176,46;169,18;173,39;147,41;87,84;79,66;122,41;119,39;122,64;100,33
2025-04-17 12:13:46.262562;102,65;130,47;176,46;169,19;173,65;147,49;87,64;79,35;122,35;119,34;122,77;100,12
2025-04-17 12:13:46.311067;102,39;130,29;176,53;169,20;173,61;147,46;87,47;79,02;122,35;119,26;122,95;100,15
2025-04-17 12:13:46.380590;102,68;130,10;176,39;168,99;173,85;147,38;87,23;78,68;122,15;119,38;123,23;100,02
2025-04-17 12:13:46.444621;102,65;130,02;176,38;168,67;173,84;147,23;85,09;76,31;122,24;119,45;122,67;99,28
2025-04-17 12:13:46.492901;102,74;129,05;176,19;168,31;173,60;146,77;82,64;72,06;121,87;119,93;120,80;97,43
2025-04-17 12:13:46.540961;102,60;129,44;176,44;168,45;173,80;146,52;81,36;69,76;121,63;120,27;119,54;95,58
2025-04-17 12:13:46.597592;102,89;131,32;176,46;167,84;173,84;146,08;80,55;67,52;121,21;120,23;118,80;94,57
2025-04-17 12:13:46.699204;103,48;129,62;176,11;168,04;173,05;147,69;73,53;54,20;120,87;117,79;111,31;89,15
2025-04-17 12:13:46.753352;103,99;129,28;175,67;168,29;172,53;147,77;71,90;52,61;120,59;118,47;109,92;87,74
2025-04-17 12:13:46.799834;104,26;129,10;175,58;167,91;171,83;148,08;71,43;51,09;121,41;119,24;105,93;85,93
2025-04-17 12:13:46.846338;104,27;129,59;175,62;168,04;171,89;147,35;69,05;49,68;121,14;119,99;102,66;83,17
2025-04-17 12:13:46.901069;104,32;129,43;174,69;168,60;170,61;146,44;68,05;47,33;120,90;119,60;101,90;81,28
2025-04-17 12:13:46.958001;102,22;129,15;175,87;170,35;171,06;146,72;62,61;42,10;119,34;115,65;96,81;80,62
2025-04-17 12:13:47.010639;101,94;129,71;175,78;169,84;171,20;145,94;61,32;41,07;119,14;116,42;94,71;79,00
2025-04-17 12:13:47.062614;100,55;125,47;176,21;170,55;171,86;147,63;58,12;39,36;116,99;114,58;93,34;78,62
2025-04-17 12:13:47.111245;99,96;126,69;174,55;169,57;169,13;147,20;56,65;38,92;115,97;114,62;93,55;78,71
2025-04-17 12:13:47.162478;99,64;127,69;173,83;169,42;168,21;146,17;56,07;40,22;116,17;115,54;93,19;78,55
2025-04-17 12:13:47.211110;99,18;125,60;174,09;168,93;169,74;147,17;50,24;40,40;114,03;117,00;89,14;76,78
2025-04-17 12:13:47.261138;99,73;125,68;173,98;168,78;169,78;146,88;48,74;40,59;113,22;118,47;87,87;75,96
2025-04-17 12:13:47.318797;100,21;122,75;173,22;169,04;169,79;146,60;46,07;41,04;111,03;119,34;87,08;77,99
2025-04-17 12:13:47.370293;101,44;123,38;172,80;170,27;170,58;144,04;45,55;39,83;110,58;119,09;86,41;77,01
2025-04-17 12:13:47.422309;102,48;126,13;173,27;169,48;171,35;143,63;43,87;40,28;108,06;120,68;86,10;78,48
2025-04-17 12:13:47.467673;101,62;127,24;174,23;169,85;171,53;143,64;43,40;38,45;108,42;118,48;85,40;78,16
2025-04-17 12:13:47.522241;102,06;125,75;175,28;169,55;173,58;145,97;40,28;33,61;106,92;113,78;82,63;75,54
2025-04-17 12:13:47.628316;101,07;122,24;175,64;167,68;173,78;148,44;35,16;31,05;103,10;110,76;84,57;76,07
2025-04-17 12:13:47.678876;101,02;122,20;175,69;167,64;173,57;146,56;34,03;29,78;102,28;109,58;84,19;76,55
2025-04-17 12:13:47.725815;101,02;122,48;175,68;169,43;173,32;144,11;33,12;28,19;101,31;108,10;84,25;76,96
2025-04-17 12:13:47.784455;101,29;122,09;175,03;170,48;172,76;143,94;32,80;27,62;101,18;107,70;83,58;76,14
2025-04-17 12:13:47.837475;101,40;124,14;174,75;170,44;172,95;146,64;32,18;26,76;101,37;106,67;83,64;76,11
2025-04-17 12:13:47.881890;101,63;124,61;174,91;170,39;172,96;147,65;31,23;26,08;100,99;106,04;83,87;75,99
2025-04-17 12:13:47.936467;101,03;123,52;175,03;170,04;172,62;147,94;30,73;25,38;101,07;104,97;83,49;76,30
2025-04-17 12:13:47.988292;101,08;119,46;174,79;169,17;172,85;148,31;30,09;24,73;101,17;103,76;83,28;77,31
2025-04-17 12:13:48.040322;100,80;117,39;174,63;169,24;172,89;148,23;28,86;24,47;100,59;103,39;83,34;77,65
2025-04-17 12:13:48.100830;100,51;116,58;174,61;169,53;173,03;148,49;28,12;24,35;100,39;102,97;83,39;78,07
2025-04-17 12:13:48.156950;100,55;118,55;173,81;170,40;171,97;147,27;24,94;22,53;97,62;100,45;86,24;80,78
2025-04-17 12:13:48.213594;100,47;118,86;172,91;172,57;170,86;146,00;24,57;22,18;97,33;100,14;86,63;84,27
2025-04-17 12:13:48.259673;100,64;119,86;172,40;173,04;170,87;146,15;23,88;22,46;96,68;100,46;87,84;83,51
2025-04-17 12:13:48.313208;99,77;119,41;173,56;173,78;171,41;146,75;22,65;23,12;95,52;101,34;89,56;86,42
2025-04-17 12:13:48.367261;99,60;119,85;173,68;174,38;171,44;146,17;23,36;22,97;96,12;101,06;89,84;85,44
2025-04-17 12:13:48.413908;100,29;126,59;173,51;174,50;171,75;146,28;24,25;19,83;96,81;98,03;89,19;87,15
2025-04-17 12:13:48.462907;100,26;127,95;173,70;175,52;171,74;146,52;24,36;20,62;96,54;99,47;89,64;88,06
2025-04-17 12:13:48.512393;100,30;125,62;174,04;175,79;172,05;146,62;24,09;21,84;96,12;100,90;90,64;87,91
2025-04-17 12:13:48.568894;100,50;124,54;173,88;175,77;172,07;146,67;23,82;21,76;95,70;100,91;91,41;88,23
2025-04-17 12:13:48.618504;100,57;123,89;174,59;176,06;173,10;146,34;23,27;22,59;95,26;101,68;91,89;89,36
2025-04-17 12:13:48.663471;100,37;123,37;174,66;176,38;173,33;146,17;23,14;24,24;95,30;103,18;91,84;88,50
