timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:16:34.010425;111,53;109,40;135,28;141,46;167,28;171,61;87,56;85,82;98,96;83,46;170,33;167,02
2025-04-17 12:16:34.060426;111,73;109,66;135,04;141,81;166,03;171,34;89,21;86,93;101,72;80,83;170,41;167,83
2025-04-17 12:16:34.109941;111,67;109,40;134,75;141,88;166,05;171,70;88,81;86,12;103,53;79,17;170,04;167,88
2025-04-17 12:16:34.160945;111,78;109,01;134,53;142,22;166,11;171,68;88,64;86,22;102,97;79,78;170,01;168,25
2025-04-17 12:16:34.214189;111,73;109,17;134,62;142,19;166,35;171,56;87,83;86,53;101,82;80,95;168,92;168,16
2025-04-17 12:16:34.259190;111,80;109,40;134,58;141,82;166,42;171,37;87,45;86,62;101,12;81,67;168,32;167,97
2025-04-17 12:16:34.306736;111,95;109,51;134,26;141,60;166,18;171,20;87,41;86,56;100,93;81,94;168,32;167,74
2025-04-17 12:16:34.357736;112,14;109,39;134,10;140,78;166,88;170,78;86,30;86,36;97,75;85,16;168,00;167,69
2025-04-17 12:16:34.410255;112,44;109,25;134,04;140,64;167,64;170,89;85,18;85,96;95,05;87,88;167,80;167,53
2025-04-17 12:16:34.459254;112,91;109,77;133,80;140,14;167,76;170,82;85,14;85,98;95,59;87,31;167,66;167,63
2025-04-17 12:16:34.508776;112,83;109,71;133,90;141,04;167,59;171,44;86,10;85,53;97,60;84,64;169,07;167,56
2025-04-17 12:16:34.562782;113,00;110,07;133,99;141,02;167,73;171,64;86,30;85,56;98,35;83,96;168,93;167,59
2025-04-17 12:16:34.610300;112,91;109,84;134,00;140,97;167,52;171,63;86,96;85,57;98,60;83,32;169,73;167,86
2025-04-17 12:16:34.659298;112,70;109,81;134,14;140,99;167,79;171,70;86,68;85,34;98,64;83,36;168,84;167,43
2025-04-17 12:16:34.709872;112,94;109,59;133,88;141,80;165,75;171,90;89,72;85,68;106,68;75,17;169,74;168,63
2025-04-17 12:16:34.755871;113,34;109,67;134,09;141,53;166,78;171,41;88,20;86,66;101,23;80,77;168,14;167,68
2025-04-17 12:16:34.802391;113,20;109,96;134,12;140,45;166,80;170,85;88,50;87,16;99,10;82,64;169,13;167,23
2025-04-17 12:16:34.844392;112,97;109,80;134,30;140,74;167,08;170,92;88,01;87,24;97,39;84,39;168,23;167,31
2025-04-17 12:16:34.899914;112,90;109,65;134,40;141,13;167,24;171,11;87,91;87,08;97,00;84,56;168,35;167,25
2025-04-17 12:16:34.962935;112,72;109,74;134,78;141,05;168,26;171,37;85,68;85,82;95,57;86,76;167,25;166,07
2025-04-17 12:16:35.014449;112,53;110,33;135,30;139,47;169,58;170,89;83,19;83,57;91,57;90,22;166,53;162,41
2025-04-17 12:16:35.062442;111,24;109,06;136,65;140,18;172,45;171,95;74,61;78,97;79,46;102,00;159,79;157,90
2025-04-17 12:16:35.154962;108,75;107,87;138,95;141,31;172,74;172,35;74,42;72,98;90,14;91,21;161,32;154,92
2025-04-17 12:16:35.203501;108,12;107,56;139,06;141,40;172,69;172,25;74,22;72,03;91,96;89,51;161,43;154,47
2025-04-17 12:16:35.252497;106,33;107,02;139,49;138,23;172,10;171,46;64,51;61,94;92,57;90,07;155,25;145,79
2025-04-17 12:16:35.306027;105,28;106,92;139,13;135,07;171,56;172,17;59,86;57,92;90,88;93,95;153,72;143,47
2025-04-17 12:16:35.358012;106,20;107,54;138,05;133,36;169,82;171,95;52,19;54,57;85,52;100,15;147,20;140,50
2025-04-17 12:16:35.398538;105,97;107,34;138,06;133,43;169,58;171,54;49,99;52,54;85,68;101,00;145,22;140,37
2025-04-17 12:16:35.449537;104,08;107,93;141,13;134,18;167,12;170,56;44,18;47,36;83,92;104,40;139,15;136,62
2025-04-17 12:16:35.504056;105,34;107,10;140,33;134,75;167,47;170,23;44,36;45,92;86,23;102,22;137,55;134,26
2025-04-17 12:16:35.560072;107,42;107,47;138,23;134,56;168,09;169,69;41,32;41,99;90,43;99,92;130,93;128,56
2025-04-17 12:16:35.607576;109,00;109,45;136,85;132,76;168,74;169,90;41,51;42,38;91,37;99,07;128,84;127,61
2025-04-17 12:16:35.656577;108,87;109,90;136,91;132,61;168,22;169,75;38,73;41,13;90,17;100,99;125,93;125,61
2025-04-17 12:16:35.711244;108,65;109,66;136,95;132,49;168,07;169,85;36,62;39,90;89,07;102,76;123,73;123,20
2025-04-17 12:16:35.760562;108,61;109,92;137,04;132,44;168,25;169,94;36,45;39,74;89,06;103,30;123,18;122,20
2025-04-17 12:16:35.812091;109,59;110,77;136,33;131,97;168,19;169,80;35,54;39,45;88,83;103,91;121,51;121,15
2025-04-17 12:16:35.864098;110,08;111,28;136,36;131,62;167,99;170,05;35,47;40,16;87,71;104,97;122,10;122,13
2025-04-17 12:16:35.917609;110,69;111,87;136,32;131,10;167,29;170,44;32,65;39,16;86,34;107,21;118,19;118,62
2025-04-17 12:16:35.973614;112,21;114,39;135,95;129,29;169,78;172,07;31,93;39,15;84,91;110,05;115,62;114,79
2025-04-17 12:16:36.020129;112,76;115,17;135,18;128,74;171,44;171,85;33,17;39,15;87,84;107,95;113,30;115,97
2025-04-17 12:16:36.064134;113,13;115,55;135,06;128,95;171,82;171,81;33,52;38,87;89,82;106,32;111,37;113,98
2025-04-17 12:16:36.116645;113,60;116,80;134,50;128,04;171,83;169,48;37,74;42,47;93,58;103,66;111,75;115,98
2025-04-17 12:16:36.165654;114,85;117,44;133,57;128,63;171,28;168,96;39,63;44,75;93,73;103,38;112,35;116,01
2025-04-17 12:16:36.219178;115,24;117,19;130,61;127,62;167,64;166,33;42,44;45,91;95,28;101,46;114,55;114,11
2025-04-17 12:16:36.271174;116,01;117,91;130,18;126,55;166,97;165,52;42,93;46,01;95,80;100,66;114,22;113,86
2025-04-17 12:16:36.317689;116,83;118,87;129,05;125,22;165,33;164,24;43,97;46,02;96,67;99,68;114,87;114,37
2025-04-17 12:16:36.368692;116,62;118,60;129,12;124,97;166,94;164,89;42,53;45,86;95,32;100,89;115,44;115,92
2025-04-17 12:16:36.416208;117,20;119,66;128,89;123,83;163,56;161,98;44,58;44,78;97,62;98,83;114,93;115,30
2025-04-17 12:16:36.471211;117,55;119,76;128,94;124,81;165,23;163,79;43,11;45,20;97,29;99,32;116,33;116,65
2025-04-17 12:16:36.514721;117,46;119,45;129,12;125,09;165,53;164,13;42,89;43,97;97,62;98,88;116,27;116,93
2025-04-17 12:16:36.562723;117,16;119,07;129,76;125,57;166,14;164,28;42,29;42,53;96,93;99,22;116,82;115,82
2025-04-17 12:16:36.611239;116,92;118,89;130,09;125,45;166,30;164,38;42,00;41,44;97,19;98,94;116,27;115,12
2025-04-17 12:16:36.669243;116,81;118,66;130,11;124,84;165,45;163,10;41,81;41,15;97,35;98,70;116,56;113,66
2025-04-17 12:16:36.720759;116,43;118,67;130,70;124,81;166,05;163,30;41,80;41,34;96,31;99,21;118,67;113,71
2025-04-17 12:16:36.772760;113,26;116,60;133,85;127,36;168,55;165,95;39,26;39,07;96,14;98,96;120,99;114,86
2025-04-17 12:16:36.826030;112,81;115,65;134,33;129,12;169,61;167,29;38,74;39,39;94,46;99,92;122,87;117,60
2025-04-17 12:16:36.875037;113,05;115,78;134,23;128,90;169,63;167,13;39,18;39,85;94,22;99,91;123,55;118,33
2025-04-17 12:16:36.922151;113,04;115,75;134,29;128,98;170,24;167,28;36,80;38,70;93,17;100,87;122,20;117,68
2025-04-17 12:16:36.976156;113,14;115,71;134,30;129,48;170,12;167,50;37,53;38,25;93,32;100,35;122,66;118,01
2025-04-17 12:16:37.024390;113,06;115,70;134,67;129,50;170,59;167,90;36,47;37,54;92,52;100,45;122,81;117,98
2025-04-17 12:16:37.077398;112,55;115,53;135,19;129,69;170,49;167,96;36,74;36,81;92,03;99,99;123,51;117,74
2025-04-17 12:16:37.124568;112,54;115,38;135,05;129,63;170,60;167,84;37,57;38,49;89,78;99,59;125,85;120,89
2025-04-17 12:16:37.173576;112,73;115,45;134,88;129,32;170,62;167,66;37,83;39,75;88,89;99,63;126,36;122,40
2025-04-17 12:16:37.229084;113,07;115,64;134,40;129,37;170,39;167,57;39,26;41,91;88,46;99,77;127,83;123,76
2025-04-17 12:16:37.277096;113,12;115,74;134,26;129,41;170,43;167,53;39,97;43,84;87,50;100,57;128,50;124,17
2025-04-17 12:16:37.326608;113,04;115,44;134,36;129,87;170,75;167,79;41,13;44,49;85,26;101,59;131,50;125,08
2025-04-17 12:16:37.376615;112,73;115,15;134,63;130,21;170,88;168,18;41,65;44,04;84,68;101,51;132,79;125,68
2025-04-17 12:16:37.426031;112,39;114,89;134,71;130,33;170,80;168,33;41,63;44,10;84,89;101,20;132,76;125,53
2025-04-17 12:16:37.485569;112,50;114,94;134,53;130,31;170,76;168,25;42,19;44,98;84,56;101,51;133,23;126,21
2025-04-17 12:16:37.531569;112,28;114,59;134,74;131,04;170,92;168,73;41,87;42,96;84,75;101,19;133,46;126,11
2025-04-17 12:16:37.576574;112,25;114,55;134,75;131,05;170,92;168,70;42,74;43,27;84,76;101,08;134,47;126,52
2025-04-17 12:16:37.626088;113,16;115,19;133,81;129,97;170,86;168,45;42,47;44,16;85,39;101,21;133,16;125,41
2025-04-17 12:16:37.680608;113,01;115,14;133,93;129,88;170,83;168,35;42,44;44,82;85,66;101,37;132,82;124,57
2025-04-17 12:16:37.731610;112,85;115,17;134,21;129,65;170,85;168,66;42,42;44,34;86,51;100,97;132,45;124,92
2025-04-17 12:16:37.780132;112,99;115,48;134,16;129,61;170,82;168,79;42,39;43,91;86,99;101,21;132,33;125,00
2025-04-17 12:16:37.849250;112,63;115,48;134,90;129,62;171,19;169,23;40,53;42,28;87,26;101,60;131,17;123,85
2025-04-17 12:16:37.900776;112,63;115,57;135,17;129,59;171,29;169,36;40,02;41,91;87,55;101,97;130,33;123,37
2025-04-17 12:16:37.954779;113,22;116,20;134,90;128,69;171,28;169,24;41,70;43,31;88,51;101,65;130,76;124,25
2025-04-17 12:16:38.006293;113,09;116,01;135,02;128,61;171,29;169,17;42,07;43,85;88,75;102,07;131,18;124,37
2025-04-17 12:16:38.060292;112,91;115,43;135,49;130,04;171,39;169,83;42,45;43,47;88,29;102,56;132,24;124,47
2025-04-17 12:16:38.107810;111,79;114,83;136,52;130,80;171,38;170,06;43,50;43,38;88,62;102,44;134,07;125,55
2025-04-17 12:16:38.156811;113,10;116,22;134,58;127,51;170,55;167,78;42,16;44,83;90,05;102,77;128,02;123,45
2025-04-17 12:16:38.210346;116,09;118,63;131,75;125,37;166,90;164,62;45,00;47,02;95,21;99,48;121,52;117,80
2025-04-17 12:16:38.261328;116,27;118,49;131,86;125,69;167,68;164,93;44,05;47,79;94,27;100,64;120,63;116,87
2025-04-17 12:16:38.304852;117,28;119,20;130,75;124,56;166,95;163,84;44,65;49,54;94,16;100,82;119,03;115,49
2025-04-17 12:16:38.363868;117,30;119,50;130,95;124,38;167,16;164,13;45,04;49,10;94,51;100,37;119,17;115,52
2025-04-17 12:16:38.418393;117,26;119,61;130,98;124,27;167,10;164,17;45,21;48,83;94,84;100,03;119,08;115,45
2025-04-17 12:16:38.470398;116,99;119,36;131,08;124,45;167,22;163,95;44,65;49,83;94,42;101,29;117,69;114,88
2025-04-17 12:16:38.524908;116,78;119,30;131,27;124,66;167,51;164,32;44,45;49,73;94,73;101,44;117,17;114,71
2025-04-17 12:16:38.577914;116,76;119,08;131,08;124,65;167,03;163,94;44,87;49,90;95,36;101,18;116,21;114,51
