timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:05:34.003705;103,78;106,01;142,48;140,56;173,44;170,71;82,27;74,14;106,44;70,49;159,33;165,12
2025-04-17 12:05:34.049704;103,49;105,75;142,82;140,96;172,25;168,96;80,85;71,21;107,85;68,73;156,95;162,18
2025-04-17 12:05:34.094232;103,22;105,64;143,07;141,05;172,04;168,41;80,60;71,09;109,13;67,46;156,57;163,20
2025-04-17 12:05:34.140233;102,72;105,18;144,13;141,12;170,04;166,10;78,83;67,70;111,09;65,06;152,90;159,67
2025-04-17 12:05:34.189242;102,73;105,14;144,14;141,33;170,07;166,26;78,86;67,93;110,53;65,74;155,20;160,70
2025-04-17 12:05:34.230752;102,90;105,29;143,97;141,34;170,78;167,45;79,55;70,03;108,64;67,86;157,71;162,94
2025-04-17 12:05:34.272752;103,00;105,34;143,88;141,38;171,17;168,00;80,00;71,12;107,91;68,63;158,02;163,81
2025-04-17 12:05:34.318327;103,15;105,57;143,76;140,91;171,44;168,57;80,19;71,77;107,13;69,51;158,50;164,29
2025-04-17 12:05:34.365305;103,25;105,69;143,66;140,66;171,61;168,81;80,31;72,03;106,96;69,73;158,55;164,50
2025-04-17 12:05:34.406824;103,20;105,59;143,70;140,79;171,17;167,88;79,81;70,98;108,74;67,88;156,82;163,86
2025-04-17 12:05:34.453824;103,37;105,71;143,59;140,92;171,46;167,73;80,18;71,18;110,02;66,68;157,30;164,59
2025-04-17 12:05:34.495271;103,34;105,68;144,14;140,69;170,34;166,98;79,52;70,22;110,03;66,38;154,98;162,61
2025-04-17 12:05:34.544271;104,28;105,84;143,34;140,60;172,51;170,31;82,03;74,56;105,36;71,41;160,53;165,35
2025-04-17 12:05:34.593787;105,44;106,77;142,38;139,97;173,48;171,14;83,33;75,78;106,36;70,62;160,56;165,01
2025-04-17 12:05:34.641788;105,47;106,80;142,41;139,95;173,63;171,32;83,61;75,99;106,34;70,69;160,83;164,94
2025-04-17 12:05:34.692300;105,78;107,32;141,65;139,49;174,61;173,24;84,95;78,32;103,53;73,75;163,41;165,53
2025-04-17 12:05:34.736308;105,91;107,59;141,23;139,25;174,84;173,71;85,37;78,91;103,17;74,24;163,68;165,61
2025-04-17 12:05:34.798846;105,94;107,35;141,30;139,30;174,61;173,31;84,55;78,11;102,80;74,34;160,87;164,54
2025-04-17 12:05:34.848846;106,49;108,21;140,28;137,67;174,91;174,44;86,09;81,66;104,81;73,08;163,01;169,18
2025-04-17 12:05:34.898518;107,48;108,56;139,49;137,35;174,78;174,58;87,13;82,70;106,94;71,14;163,75;170,93
2025-04-17 12:05:34.949516;108,13;109,44;137,77;136,16;173,34;175,28;89,76;85,71;106,52;72,40;164,67;172,43
2025-04-17 12:05:34.994060;108,73;109,54;137,23;135,99;173,69;175,30;89,06;85,08;107,66;71,38;163,29;172,27
2025-04-17 12:05:35.044060;108,84;109,84;136,92;135,64;173,21;175,43;89,31;86,00;106,12;73,24;163,13;172,31
2025-04-17 12:05:35.092577;109,06;109,66;135,70;134,28;172,27;174,79;89,38;86,89;101,94;77,73;164,83;172,88
2025-04-17 12:05:35.129588;108,84;108,83;135,80;135,37;172,81;175,40;88,61;84,98;100,48;78,98;161,75;169,46
2025-04-17 12:05:35.176583;109,85;108,88;134,72;135,85;172,15;175,28;90,17;85,16;99,34;80,25;161,03;167,50
2025-04-17 12:05:35.220100;110,71;109,84;133,41;134,62;170,62;174,12;92,49;87,60;95,44;85,07;161,94;169,64
2025-04-17 12:05:35.260100;108,57;109,02;137,31;135,00;173,27;174,40;88,74;80,84;103,86;75,49;153,44;164,23
2025-04-17 12:05:35.306619;107,64;108,39;139,67;136,06;171,61;170,87;85,68;76,87;107,06;71,51;150,40;161,38
2025-04-17 12:05:35.351619;107,30;108,10;140,20;136,94;171,03;170,06;84,93;76,09;106,73;71,71;151,10;162,16
2025-04-17 12:05:35.404135;107,72;108,11;139,75;136,94;172,27;173,89;88,86;80,93;101,76;77,00;157,76;166,41
2025-04-17 12:05:35.443140;107,19;107,02;139,07;137,08;171,52;174,04;87,38;80,73;101,55;76,94;158,18;167,52
2025-04-17 12:05:35.489139;108,01;107,11;135,62;135,14;170,48;175,39;88,24;83,89;91,59;86,83;162,44;169,25
2025-04-17 12:05:35.540661;107,99;107,34;134,16;134,27;169,04;175,28;89,02;82,21;93,00;83,39;160,78;168,68
2025-04-17 12:05:35.585670;109,23;106,55;133,15;135,03;168,78;175,21;89,80;80,47;95,12;79,94;157,15;165,39
2025-04-17 12:05:35.630203;109,79;107,65;132,26;134,30;167,06;174,65;91,65;82,23;96,73;78,51;161,02;168,22
2025-04-17 12:05:35.673179;110,20;107,94;131,36;134,18;166,10;174,40;92,80;82,50;100,08;75,08;159,01;168,12
2025-04-17 12:05:35.717699;110,38;108,76;131,02;133,43;166,29;174,24;91,15;81,99;99,33;74,89;158,23;167,24
2025-04-17 12:05:35.758699;111,29;109,66;129,27;131,63;164,20;171,64;93,62;85,87;93,74;81,10;159,90;168,54
2025-04-17 12:05:35.802329;112,58;110,50;126,41;129,01;163,98;171,85;93,26;84,14;95,65;78,66;157,56;166,87
2025-04-17 12:05:35.848225;112,57;110,91;124,96;128,26;161,09;171,00;94,13;85,15;100,25;74,15;157,82;168,71
2025-04-17 12:05:35.902738;112,99;111,65;124,37;127,83;158,44;168,38;96,78;88,78;99,24;75,48;161,60;169,98
2025-04-17 12:05:35.946739;115,03;113,56;121,72;124,46;157,67;166,24;96,72;89,15;95,54;78,58;160,97;169,29
2025-04-17 12:05:35.990758;115,44;114,66;120,52;122,80;157,01;165,07;95,97;88,35;94,55;79,82;162,47;169,38
2025-04-17 12:05:36.033273;115,57;114,66;118,88;121,20;156,01;164,18;95,52;87,79;94,65;79,65;162,50;170,21
2025-04-17 12:05:36.075273;116,39;115,90;117,30;119,23;152,39;159,88;98,64;91,90;93,54;81,12;164,01;170,90
2025-04-17 12:05:36.120363;116,98;115,97;116,79;118,02;151,53;158,01;99,54;94,71;90,64;85,27;164,67;171,97
2025-04-17 12:05:36.169363;116,84;115,39;115,65;117,87;153,53;163,99;96,36;87,43;99,89;73,69;158,90;167,74
2025-04-17 12:05:36.214884;117,06;116,14;111,92;115,23;149,65;160,84;97,17;89,07;99,55;74,75;162,81;170,08
2025-04-17 12:05:36.258883;117,15;115,70;110,80;111,69;147,89;155,98;98,13;90,67;98,02;76,96;162,80;170,76
2025-04-17 12:05:36.304399;119,04;117,29;102,26;104,56;140,38;148,30;100,30;94,50;93,09;81,50;165,24;172,02
2025-04-17 12:05:36.350401;118,00;117,24;104,72;106,02;141,48;150,41;101,08;93,94;100,27;73,89;161,03;169,57
2025-04-17 12:05:36.397933;117,95;114,93;106,21;107,35;143,17;152,00;99,93;91,91;102,84;70,37;159,53;166,81
2025-04-17 12:05:36.440928;117,72;115,69;106,96;106,87;143,61;152,86;99,76;90,80;104,40;68,99;160,90;167,07
2025-04-17 12:05:36.532445;118,41;116,74;103,57;105,76;141,56;151,91;99,34;91,88;100,55;73,50;159,62;166,49
2025-04-17 12:05:36.619734;120,14;116,83;99,01;102,75;139,09;148,24;101,06;93,33;99,87;74,60;160,69;167,70
