timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:07:50.032781;108,86;119,78;137,66;153,82;157,07;157,01;49,89;7,78;118,56;86,52;119,66;99,34
2025-04-17 12:07:50.081294;108,72;119,67;138,36;154,00;157,38;157,38;49,40;6,83;117,82;87,68;118,34;98,67
2025-04-17 12:07:50.129323;109,12;119,83;138,92;153,41;158,33;158,30;49,75;7,81;118,27;87,16;118,74;99,18
2025-04-17 12:07:50.176813;109,08;120,25;138,83;153,17;157,38;158,45;50,00;6,56;117,94;88,69;117,57;97,58
2025-04-17 12:07:50.223813;109,11;120,26;138,76;153,29;157,43;158,22;50,09;6,34;118,22;88,78;117,62;97,39
2025-04-17 12:07:50.268961;109,09;120,05;139,48;152,47;158,24;159,32;50,04;5,47;118,17;89,60;117,21;96,44
2025-04-17 12:07:50.316963;108,13;119,97;139,79;152,60;157,64;158,74;49,44;1,69;117,71;94,43;116,52;91,42
2025-04-17 12:07:50.365481;108,56;121,07;137,01;152,55;155,04;157,26;49,08;1,61;117,47;94,46;116,32;91,34
2025-04-17 12:07:50.413499;108,33;120,43;137,24;153,14;155,03;157,10;49,40;1,14;117,73;94,19;116,08;91,61
2025-04-17 12:07:50.460131;107,60;120,37;136,59;153,39;153,28;156,45;49,63;2,53;117,67;96,26;115,78;89,22
2025-04-17 12:07:50.511008;107,16;120,92;137,05;152,93;153,64;155,40;49,47;2,52;118,08;94,81;116,30;90,34
2025-04-17 12:07:50.558533;106,31;120,19;137,14;153,22;152,86;154,98;49,02;3,33;117,82;95,13;115,46;89,57
2025-04-17 12:07:50.608536;106,07;119,66;137,16;153,34;152,73;154,79;48,67;4,23;117,66;95,75;114,60;88,87
2025-04-17 12:07:50.661056;106,36;119,68;136,87;154,53;154,05;152,62;47,03;3,55;117,38;93,80;114,55;90,76
2025-04-17 12:07:50.715056;106,45;118,06;136,81;156,39;155,67;151,98;44,71;4,85;116,48;93,90;114,39;90,59
2025-04-17 12:07:50.761180;107,44;119,91;136,63;155,38;155,14;151,65;44,80;4,98;116,03;95,07;113,84;89,69
2025-04-17 12:07:50.810181;107,11;119,72;138,08;155,65;156,87;151,59;45,25;4,93;116,71;95,08;114,79;89,87
2025-04-17 12:07:50.854691;107,77;120,40;137,54;155,32;157,04;151,31;46,14;2,78;117,52;89,00;115,62;96,10
2025-04-17 12:07:50.907692;108,09;120,34;137,63;155,57;156,97;150,57;46,49;4,94;117,81;86,48;115,54;98,58
2025-04-17 12:07:50.955231;107,78;119,87;138,97;155,19;159,90;150,98;45,92;9,93;119,02;81,66;117,68;104,21
2025-04-17 12:07:51.002229;108,30;121,54;137,36;153,08;158,43;151,00;46,54;12,35;119,04;79,73;117,84;106,01
2025-04-17 12:07:51.045292;108,62;121,21;137,26;152,83;158,64;151,04;46,80;13,54;119,65;78,48;118,94;107,20
2025-04-17 12:07:51.092292;108,85;121,21;137,22;151,99;158,29;151,09;46,23;14,39;118,98;77,67;118,55;108,32
2025-04-17 12:07:51.140299;108,84;121,18;137,27;152,12;158,13;150,40;45,62;15,01;118,17;77,20;117,98;109,14
2025-04-17 12:07:51.191810;109,19;121,91;137,02;150,89;158,13;151,31;45,10;16,31;117,49;76,32;117,51;110,33
2025-04-17 12:07:51.241821;109,44;122,10;136,60;150,47;157,37;151,53;44,14;16,80;115,85;76,11;115,19;110,88
2025-04-17 12:07:51.290362;109,53;121,72;136,79;150,49;157,23;150,20;42,93;15,96;114,19;76,55;110,05;111,17
2025-04-17 12:07:51.339367;109,26;121,28;137,17;150,33;157,32;150,02;41,12;16,37;112,16;75,74;104,96;112,29
2025-04-17 12:07:51.384880;108,54;121,30;137,48;149,88;156,84;150,17;40,18;17,61;111,04;75,23;102,06;113,17
2025-04-17 12:07:51.437887;107,21;121,06;137,99;149,87;156,69;149,60;40,05;17,70;111,36;75,29;102,43;113,37
2025-04-17 12:07:51.487402;106,82;119,56;139,27;149,16;158,14;151,55;38,53;18,85;109,83;75,05;98,36;114,12
2025-04-17 12:07:51.539411;107,54;120,35;139,90;147,94;158,76;151,86;39,62;19,27;109,77;75,95;98,61;113,04
2025-04-17 12:07:51.597922;106,89;119,84;141,21;146,59;159,47;153,25;41,65;19,58;111,05;77,29;98,68;111,66
2025-04-17 12:07:51.645730;106,75;119,66;142,55;147,08;161,37;152,78;43,02;20,12;111,61;77,21;99,62;111,64
2025-04-17 12:07:51.707724;106,09;119,29;144,23;146,96;162,66;153,39;44,42;22,59;112,08;75,58;101,75;113,91
2025-04-17 12:07:51.768267;106,48;119,99;143,01;147,13;160,96;153,51;44,75;26,03;110,83;73,06;98,57;117,30
2025-04-17 12:07:51.817262;105,99;119,93;143,91;147,15;161,78;153,22;47,68;29,33;113,31;72,07;101,34;119,62
2025-04-17 12:07:51.877786;106,10;120,10;143,58;147,55;161,38;152,53;49,00;30,56;114,25;70,49;102,51;121,29
2025-04-17 12:07:51.929794;105,88;120,55;143,27;147,27;160,73;151,90;49,07;33,79;112,88;66,37;97,03;125,70
2025-04-17 12:07:51.985894;103,67;119,39;146,02;148,58;160,81;151,39;48,39;36,10;110,80;63,60;95,24;128,76
2025-04-17 12:07:52.036899;103,70;119,92;146,31;148,30;159,60;151,97;50,83;39,98;110,78;60,98;101,49;133,01
2025-04-17 12:07:52.085411;103,93;120,25;146,39;149,84;158,74;150,96;53,63;41,58;112,14;59,85;105,05;133,98
2025-04-17 12:07:52.142418;103,98;120,16;147,10;149,76;159,23;151,11;58,96;42,61;116,28;60,44;106,77;133,77
2025-04-17 12:07:52.185933;105,07;121,94;146,42;150,41;158,07;150,05;64,16;44,81;119,40;60,35;108,30;133,53
2025-04-17 12:07:52.233937;105,52;122,34;146,58;150,65;157,96;149,96;64,64;46,65;118,63;60,55;109,95;133,56
2025-04-17 12:07:52.282449;105,77;122,29;143,96;152,65;153,95;148,28;64,87;47,78;117,12;61,39;99,38;132,17
2025-04-17 12:07:52.335462;108,14;124,37;139,28;151,15;147,49;150,91;72,80;51,17;120,35;64,89;106,89;130,24
2025-04-17 12:07:52.382979;108,51;124,09;140,37;151,75;148,96;151,66;74,32;52,75;121,29;65,85;109,30;130,49
2025-04-17 12:07:52.431992;109,05;124,27;139,43;152,45;147,54;151,19;85,77;55,77;127,65;64,89;124,03;133,12
2025-04-17 12:07:52.476499;109,19;124,17;140,03;151,45;146,55;152,52;91,98;58,16;134,91;77,93;124,61;125,52
2025-04-17 12:07:52.530508;109,65;124,84;139,07;150,73;146,22;152,70;90,72;61,26;134,47;76,25;122,03;127,51
2025-04-17 12:07:52.580023;109,62;124,34;141,79;150,56;149,21;154,07;92,49;66,71;135,50;76,67;122,72;129,34
2025-04-17 12:07:52.634047;109,23;125,23;142,52;148,19;150,59;156,08;93,12;71,76;135,25;76,43;122,96;129,56
2025-04-17 12:07:52.688682;109,16;125,16;142,98;148,38;150,79;157,30;94,16;74,72;135,97;70,56;123,33;136,00
2025-04-17 12:07:52.737687;109,00;124,91;143,11;147,79;150,80;158,60;95,81;78,65;137,18;64,05;123,65;143,23
