timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:10:51.041157;103,60;109,64;173,63;168,81;171,74;154,71;27,95;27,58;98,37;106,25;93,50;82,11
2025-04-17 12:10:51.092684;103,24;109,56;173,78;169,05;171,58;155,67;27,73;27,58;98,15;106,33;93,78;82,34
2025-04-17 12:10:51.141687;103,45;109,19;173,62;168,88;171,56;155,72;27,93;27,64;98,35;106,51;93,84;82,33
2025-04-17 12:10:51.188220;101,92;108,90;174,82;168,92;172,74;157,60;27,16;30,56;99,22;109,12;93,65;84,52
2025-04-17 12:10:51.235222;101,99;110,65;174,75;168,94;172,83;157,35;26,97;31,27;99,18;109,58;93,54;85,21
2025-04-17 12:10:51.283756;101,96;111,13;174,63;168,96;172,63;157,18;28,16;31,80;100,38;110,07;92,73;85,20
2025-04-17 12:10:51.331750;101,83;111,19;174,46;169,34;172,37;157,00;28,16;31,51;100,37;109,48;92,74;84,81
2025-04-17 12:10:51.374292;101,76;111,26;174,33;169,48;172,23;156,94;28,19;31,35;100,41;109,15;92,72;84,62
2025-04-17 12:10:51.423290;101,28;110,82;174,60;169,57;172,41;157,12;27,31;31,51;99,89;109,06;92,91;84,50
2025-04-17 12:10:51.467807;100,86;110,41;174,53;169,58;172,14;157,42;26,57;31,25;99,31;108,55;93,14;84,14
2025-04-17 12:10:51.516809;101,05;110,54;174,25;169,27;172,05;157,36;26,48;31,25;99,17;108,42;93,09;84,67
2025-04-17 12:10:51.564138;101,52;110,56;173,82;169,13;172,09;157,45;26,38;29,74;99,10;106,98;92,91;85,48
2025-04-17 12:10:51.610129;101,83;109,91;173,71;168,73;172,11;157,01;26,03;29,17;98,75;106,37;92,69;86,85
2025-04-17 12:10:51.659678;102,11;110,23;173,55;168,48;172,11;156,83;25,84;29,02;98,50;106,22;92,72;84,99
2025-04-17 12:10:51.712678;101,91;109,06;173,92;168,62;172,66;156,81;23,47;30,55;96,71;107,87;94,00;85,84
2025-04-17 12:10:51.759242;103,43;110,63;172,78;168,92;172,35;154,64;19,90;12,43;93,20;89,58;95,78;94,89
2025-04-17 12:10:51.810243;103,44;107,36;172,81;170,15;172,39;154,00;18,80;8,01;92,34;85,12;96,28;97,71
2025-04-17 12:10:51.864768;103,64;107,48;172,01;170,39;171,84;153,68;18,76;7,46;92,36;84,45;96,32;98,22
2025-04-17 12:10:51.919773;102,90;108,39;172,32;170,37;171,67;153,59;17,88;7,77;91,95;84,72;96,60;97,74
2025-04-17 12:10:51.966287;102,59;108,52;172,41;171,02;171,33;152,64;18,06;6,54;92,21;83,43;96,39;98,82
2025-04-17 12:10:52.016293;102,59;108,99;172,05;171,11;170,95;152,43;17,99;2,98;92,12;80,03;95,63;101,77
2025-04-17 12:10:52.065821;101,73;109,03;171,94;170,32;169,57;151,58;21,09;9,38;95,04;85,67;93,83;97,14
2025-04-17 12:10:52.116820;101,25;109,51;171,96;169,20;169,16;152,78;21,31;9,08;95,14;85,32;92,99;97,76
