timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:06:43.026276;98,34;100,29;145,25;142,82;170,46;171,52;61,30;57,87;90,17;95,58;160,37;153,84
2025-04-17 12:06:43.074868;99,37;101,96;144,97;141,43;170,81;171,55;62,97;59,42;91,42;94,26;160,90;154,25
2025-04-17 12:06:43.132943;98,64;101,18;145,27;141,74;170,82;171,37;62,95;59,30;92,29;93,45;160,91;154,16
2025-04-17 12:06:43.185612;98,83;101,19;145,24;141,79;171,47;171,62;64,17;60,59;93,82;91,95;161,14;155,05
2025-04-17 12:06:43.236517;98,79;100,90;145,31;142,03;171,42;171,49;64,37;60,65;93,88;91,94;161,49;155,30
2025-04-17 12:06:43.291053;98,66;100,64;145,23;142,20;171,62;171,60;65,01;61,45;93,74;92,09;162,45;156,47
2025-04-17 12:06:43.345050;98,64;100,61;145,30;142,16;171,67;172,06;66,51;62,52;91,93;93,83;164,59;157,16
2025-04-17 12:06:43.393580;98,71;100,27;145,24;142,70;172,00;172,42;67,92;63,40;91,09;94,50;166,04;157,50
2025-04-17 12:06:43.443582;98,39;100,09;145,23;142,89;172,08;172,37;68,26;63,21;91,77;93,88;166,29;157,28
2025-04-17 12:06:43.499106;98,33;100,00;145,24;143,01;172,24;172,79;68,67;63,87;90,74;94,99;166,32;157,26
2025-04-17 12:06:43.540106;98,33;99,96;145,11;142,81;172,26;172,81;68,56;63,65;90,82;94,97;166,13;157,06
2025-04-17 12:06:43.596655;98,34;100,08;145,12;143,13;172,28;172,88;68,66;64,08;90,29;95,53;166,29;157,46
2025-04-17 12:06:43.657635;98,08;99,11;145,18;144,13;172,36;172,86;68,82;63,94;90,57;95,53;166,20;157,30
2025-04-17 12:06:43.707154;96,40;98,17;146,72;144,12;170,66;172,15;65,75;61,56;87,53;99,01;165,47;156,27
2025-04-17 12:06:43.764202;95,73;97,69;147,30;144,36;169,83;171,23;64,00;59,86;87,90;98,96;164,25;155,54
2025-04-17 12:06:43.815721;96,01;98,33;147,14;144,07;170,24;171,37;64,61;60,12;89,02;97,78;164,39;155,62
2025-04-17 12:06:43.879840;96,32;99,03;147,23;142,74;169,85;170,38;62,39;56,70;93,26;94,18;161,10;153,83
2025-04-17 12:06:43.932838;97,45;99,66;146,35;141,91;168,73;168,93;59,56;53,40;96,14;92,40;158,31;152,05
2025-04-17 12:06:43.991370;99,35;101,52;145,39;140,18;167,68;168,71;57,85;52,53;95,25;94,13;156,24;152,00
2025-04-17 12:06:44.041379;98,69;101,68;145,76;140,18;167,62;168,56;57,25;52,00;94,65;95,65;155,24;151,44
2025-04-17 12:06:44.091911;98,71;101,58;145,51;140,41;167,51;168,45;56,55;51,26;92,94;97,83;154,37;150,09
2025-04-17 12:06:44.142912;99,35;102,11;145,24;140,03;166,81;168,27;53,21;48,31;90,72;100,06;151,47;147,05
2025-04-17 12:06:44.194445;99,81;102,18;145,29;140,15;165,47;167,71;50,20;45,59;88,25;103,51;147,88;143,72
2025-04-17 12:06:44.251441;99,57;102,82;145,68;139,35;165,85;167,34;49,97;44,09;90,24;101,06;148,27;141,87
2025-04-17 12:06:44.293970;100,16;103,39;145,28;138,84;165,92;167,33;49,64;43,64;90,68;100,77;148,13;140,87
2025-04-17 12:06:44.344966;100,03;103,58;145,31;138,53;166,21;167,31;49,76;43,90;91,59;100,86;147,82;140,82
2025-04-17 12:06:44.398488;100,25;104,51;145,55;138,15;165,63;165,79;47,46;38,81;95,87;98,68;145,22;134,66
2025-04-17 12:06:44.446534;100,73;105,15;145,41;137,71;165,29;165,42;45,11;38,48;96,50;100,61;142,52;136,20
2025-04-17 12:06:44.762146;102,24;106,61;144,52;136,94;164,72;164,69;44,02;36,92;97,71;101,18;141,38;134,23
2025-04-17 12:06:44.819731;103,18;106,89;144,68;139,00;164,11;162,60;38,31;32,38;99,80;102,83;132,66;127,64
