timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:09:37.024114;98,84;112,97;151,34;147,72;166,92;153,34;45,67;35,98;109,11;60,31;118,40;131,70
2025-04-17 12:09:37.073119;98,96;113,35;151,37;146,87;166,86;153,97;46,05;35,37;109,06;61,27;120,70;130,69
2025-04-17 12:09:37.121631;99,05;113,15;151,23;146,72;167,56;153,90;45,84;34,28;109,53;61,84;121,63;130,16
2025-04-17 12:09:37.168640;99,45;112,93;151,53;146,64;168,23;154,54;46,07;34,23;109,64;62,24;122,02;129,87
2025-04-17 12:09:37.220463;99,49;112,98;151,52;146,10;168,46;154,84;45,80;34,25;109,57;61,89;121,55;130,23
2025-04-17 12:09:37.271485;99,45;113,02;151,19;146,01;167,57;154,80;46,64;33,82;110,13;62,67;122,20;129,43
2025-04-17 12:09:37.319000;99,48;113,21;151,28;145,31;167,58;155,64;47,14;33,85;110,65;63,35;125,25;129,20
2025-04-17 12:09:37.368009;99,65;113,18;151,10;145,28;166,52;156,44;48,04;34,13;110,74;63,91;124,60;128,60
2025-04-17 12:09:37.418520;99,73;113,28;151,04;145,35;165,93;156,85;48,50;34,58;110,56;63,86;123,91;128,74
2025-04-17 12:09:37.469526;99,85;113,37;151,02;145,45;166,21;156,65;48,49;34,86;110,56;63,27;123,56;129,37
2025-04-17 12:09:37.518040;100,76;114,18;150,34;144,89;165,80;157,36;50,27;36,17;112,36;62,57;125,73;130,37
2025-04-17 12:09:37.564038;100,11;114,18;150,17;144,83;165,01;157,18;50,05;35,70;112,35;63,35;123,56;129,59
2025-04-17 12:09:37.615557;99,88;113,69;150,72;145,34;165,44;156,98;49,72;35,44;112,06;63,58;122,97;129,44
2025-04-17 12:09:37.675566;100,00;114,25;150,45;144,55;165,32;156,76;49,74;35,58;112,13;63,16;122,34;129,88
2025-04-17 12:09:37.732078;100,46;114,39;150,43;144,02;166,04;157,04;49,61;35,52;112,20;63,11;123,68;129,99
2025-04-17 12:09:37.779102;100,03;114,19;150,20;145,12;165,26;156,02;49,52;35,51;112,19;62,99;122,32;130,03
2025-04-17 12:09:37.831184;99,71;113,38;151,09;145,58;166,51;155,99;48,16;35,33;111,05;62,71;121,09;130,28
2025-04-17 12:09:37.881707;98,95;112,80;151,74;146,08;167,57;155,18;48,23;34,24;112,16;63,66;122,22;129,41
2025-04-17 12:09:37.937706;99,05;112,97;151,63;145,98;167,15;155,24;48,24;35,05;111,21;62,22;122,93;130,74
2025-04-17 12:09:37.999232;99,55;113,18;151,73;145,32;168,09;155,65;47,86;35,52;111,10;61,40;123,83;131,60
2025-04-17 12:09:38.046230;99,24;113,04;151,94;145,45;168,71;155,07;46,89;35,43;110,66;60,84;122,94;132,10
2025-04-17 12:09:38.096752;99,04;112,80;152,22;145,94;168,80;154,14;46,98;35,47;110,95;60,32;122,91;132,49
2025-04-17 12:09:38.152755;98,65;112,75;152,45;145,97;168,89;153,69;46,86;35,66;111,37;59,83;122,10;132,98
2025-04-17 12:09:38.212276;98,10;112,54;153,13;145,97;168,77;152,59;46,79;33,62;111,93;61,46;121,94;130,97
2025-04-17 12:09:38.264273;99,29;112,63;152,25;145,92;168,05;153,72;48,27;33,86;112,54;62,79;124,87;129,80
2025-04-17 12:09:38.316793;100,13;113,69;151,57;145,54;167,42;153,73;47,97;35,32;111,32;60,97;123,73;131,54
2025-04-17 12:09:38.371800;100,30;113,68;151,07;145,82;166,97;154,32;48,27;35,91;111,68;61,03;124,90;131,72
2025-04-17 12:09:38.420641;100,28;113,51;151,32;146,02;166,97;154,83;48,53;35,97;111,81;61,55;123,73;131,35
2025-04-17 12:09:38.466636;100,64;114,09;150,81;145,09;166,99;155,87;48,42;37,06;112,14;60,63;123,42;132,47
2025-04-17 12:09:38.515147;100,87;114,23;150,69;144,80;167,98;156,05;48,26;36,88;113,25;60,57;123,51;132,79
2025-04-17 12:09:38.565153;100,73;113,73;150,62;144,99;169,30;155,89;46,63;36,61;113,71;60,46;123,49;132,90
2025-04-17 12:09:38.611719;100,90;113,93;150,13;145,93;168,87;154,16;45,54;34,77;113,17;58,84;121,28;133,28
2025-04-17 12:09:38.662702;100,82;113,64;150,07;146,09;169,66;154,15;45,26;33,55;113,96;59,48;120,38;132,39
2025-04-17 12:09:38.716222;101,16;113,75;149,74;145,77;169,37;154,31;44,30;33,19;112,86;59,84;117,43;131,77
2025-04-17 12:09:38.762222;101,19;113,35;149,65;145,63;169,27;154,45;44,78;29,17;115,14;64,93;119,32;126,70
2025-04-17 12:09:38.814739;101,71;114,83;147,46;144,90;165,55;154,83;44,60;29,94;113,47;65,24;119,48;126,54
2025-04-17 12:09:38.866744;100,75;113,99;148,54;145,76;166,15;153,94;45,24;26,97;115,55;67,63;119,52;123,79
2025-04-17 12:09:38.920262;99,35;112,40;149,84;147,16;166,63;153,07;45,23;24,39;117,10;70,17;117,39;120,84
2025-04-17 12:09:38.970270;99,58;112,42;148,73;148,18;165,62;151,93;45,49;22,41;118,70;71,16;115,49;119,19
2025-04-17 12:09:39.020796;99,73;112,31;148,95;148,52;165,97;152,83;43,22;23,16;116,81;69,97;110,73;120,49
2025-04-17 12:09:39.068787;100,41;113,49;147,56;146,66;164,90;155,51;42,28;22,84;115,49;73,85;108,48;117,00
2025-04-17 12:09:39.111302;100,53;113,72;147,46;146,44;165,96;155,30;40,93;20,50;115,49;73,95;106,29;116,42
2025-04-17 12:09:39.169334;100,22;113,13;148,39;145,77;167,94;156,38;39,07;19,49;114,78;73,71;105,79;116,61
2025-04-17 12:09:39.218841;99,57;112,57;149,73;145,39;169,16;156,90;36,57;16,72;112,72;75,37;106,66;114,79
