timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:19:30.029248;91,69;110,30;172,67;172,78;171,93;144,81;72,06;56,07;64,01;133,74;111,21;105,86
2025-04-17 12:19:30.078249;91,33;110,25;172,73;172,87;171,90;144,43;71,74;53,34;61,69;129,20;113,47;102,91
2025-04-17 12:19:30.120297;91,57;109,88;172,69;172,92;172,47;145,24;71,74;51,47;61,98;127,95;113,20;104,67
2025-04-17 12:19:30.164319;91,69;110,02;172,63;173,08;172,14;145,18;72,03;50,93;64,66;127,90;110,53;105,78
2025-04-17 12:19:30.210335;91,66;109,67;171,98;174,52;171,15;144,13;71,66;51,50;63,80;128,79;111,43;105,64
2025-04-17 12:19:30.256039;90,85;108,73;173,15;175,07;172,05;144,23;71,18;54,35;61,60;133,05;113,59;127,81
2025-04-17 12:19:30.298018;91,02;108,79;172,37;174,90;171,54;144,24;71,34;52,53;62,13;129,35;112,99;104,25
2025-04-17 12:19:30.340535;90,99;108,76;172,46;174,66;171,65;144,32;71,44;57,46;62,42;135,09;112,65;122,31
2025-04-17 12:19:30.389011;91,25;108,50;172,02;174,49;171,32;144,33;71,75;58,14;63,67;134,23;111,35;109,21
2025-04-17 12:19:30.432513;91,26;108,79;171,90;174,15;171,42;144,25;71,85;58,12;63,80;135,07;111,32;113,79
2025-04-17 12:19:30.477514;91,07;109,39;172,08;173,62;171,23;144,10;72,00;62,28;64,39;139,90;109,99;121,89
2025-04-17 12:19:30.521543;89,97;108,53;172,83;174,05;171,52;144,01;71,75;60,90;61,01;138,04;113,02;118,38
2025-04-17 12:19:30.565595;90,15;107,81;173,79;174,30;173,19;144,01;71,65;64,64;60,62;142,15;113,48;126,14
2025-04-17 12:19:30.616608;90,89;108,01;173,40;174,05;173,43;144,25;71,78;63,48;61,59;140,88;112,39;119,79
2025-04-17 12:19:30.657125;91,14;109,27;173,16;173,61;172,57;143,74;72,63;64,35;63,48;142,65;110,37;121,27
2025-04-17 12:19:30.700182;91,41;109,18;173,21;174,19;172,63;143,59;72,98;66,81;64,20;145,08;109,89;126,19
2025-04-17 12:19:30.753699;92,03;109,64;172,51;174,00;171,95;143,50;73,85;66,61;69,55;144,96;105,10;120,65
2025-04-17 12:19:30.798084;91,83;109,37;172,58;174,05;171,90;143,55;73,96;67,81;68,54;146,20;106,09;128,60
2025-04-17 12:19:30.840993;91,10;108,13;173,29;175,56;172,45;143,63;73,62;68,63;65,20;146,92;109,48;130,83
2025-04-17 12:19:30.893406;89,63;107,50;174,12;175,88;172,44;143,36;73,21;70,65;61,18;149,42;113,46;143,37
2025-04-17 12:19:30.938013;89,33;107,66;174,05;176,27;171,68;143,02;72,94;71,09;59,67;150,23;115,07;141,81
2025-04-17 12:19:30.984011;89,44;107,00;173,74;175,83;171,97;143,75;72,62;70,76;57,94;149,81;116,79;138,93
2025-04-17 12:19:31.026547;89,61;107,12;173,67;175,84;172,55;144,73;72,63;70,05;57,10;148,75;117,57;129,50
2025-04-17 12:19:31.068546;90,06;107,04;173,07;175,65;172,37;144,29;72,66;68,17;57,78;146,29;116,78;120,54
2025-04-17 12:19:31.113663;90,24;107,53;172,28;174,63;172,13;144,94;73,02;65,43;59,57;143,35;114,26;117,63
2025-04-17 12:19:31.163132;90,27;107,05;172,13;175,18;172,17;144,70;72,48;65,36;58,45;143,40;114,97;125,79
2025-04-17 12:19:31.208992;89,87;106,95;171,87;175,40;171,93;144,39;72,50;67,02;58,85;144,94;114,80;128,80
2025-04-17 12:19:31.253528;88,73;106,09;172,02;175,92;172,48;144,59;71,83;66,58;58,87;144,67;114,97;128,95
2025-04-17 12:19:31.300617;88,13;105,42;171,82;175,42;172,29;145,51;72,11;70,45;56,99;147,51;117,66;117,13
2025-04-17 12:19:31.349108;88,80;105,47;171,62;175,24;170,79;146,09;71,33;71,32;54,14;148,98;121,04;116,20
2025-04-17 12:19:31.390107;88,09;104,03;171,81;173,56;170,22;148,77;72,80;76,57;54,40;149,35;121,27;105,95
2025-04-17 12:19:31.431679;89,77;105,17;170,85;169,17;169,18;151,62;73,95;78,56;54,72;151,28;121,40;115,44
2025-04-17 12:19:31.484723;91,88;107,27;166,95;168,50;163,61;152,29;75,44;83,18;58,08;155,81;118,39;116,49
2025-04-17 12:19:31.528565;91,80;106,06;167,33;167,04;162,92;153,17;79,19;86,12;60,21;160,09;116,26;147,84
2025-04-17 12:19:31.572568;91,34;106,39;167,38;164,46;163,37;152,21;81,65;91,98;65,55;157,97;110,55;138,02
2025-04-17 12:19:31.612617;90,47;107,69;166,09;160,69;161,24;152,49;83,03;96,41;63,45;150,51;112,21;66,31
2025-04-17 12:19:31.657710;88,46;101,27;165,83;156,08;160,62;154,37;87,14;96,92;64,38;153,93;109,71;138,19
2025-04-17 12:19:31.705712;88,30;101,17;162,87;155,17;156,81;152,18;88,75;93,51;69,85;155,58;104,56;145,69
2025-04-17 12:19:31.751146;87,33;97,73;162,27;152,06;155,21;153,28;92,97;94,03;76,49;152,88;98,37;144,95
2025-04-17 12:19:31.795402;87,50;99,91;160,95;151,03;153,14;151,21;92,76;92,20;78,47;153,45;96,91;143,18
2025-04-17 12:19:31.837941;86,63;99,19;158,67;148,15;149,41;150,62;93,81;95,29;77,86;153,57;96,81;140,07
2025-04-17 12:19:31.881960;89,96;100,85;155,46;142,85;146,27;148,86;95,28;96,38;80,71;145,07;93,51;84,30
