timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:21:48.006554;106,60;120,24;139,23;161,92;155,61;146,26;47,51;5,99;118,56;92,95;106,33;91,51
2025-04-17 12:21:48.061560;105,68;118,97;140,89;161,88;158,32;146,76;48,43;3,29;121,05;88,22;108,64;96,21
2025-04-17 12:21:48.106076;105,80;119,05;140,64;161,40;157,21;147,53;47,74;4,71;119,30;90,72;107,33;93,71
2025-04-17 12:21:48.155079;105,83;119,46;140,79;161,20;158,10;145,80;46,26;9,81;118,43;94,33;104,37;90,16
2025-04-17 12:21:48.204602;105,78;119,60;140,89;161,34;158,57;145,09;45,35;9,33;117,80;93,36;102,40;91,18
2025-04-17 12:21:48.256601;105,77;119,34;141,01;161,51;158,51;145,13;46,13;4,82;118,63;89,17;106,21;95,26
2025-04-17 12:21:48.307644;105,87;120,15;140,11;161,79;157,55;144,00;46,24;4,53;118,78;89,13;105,84;95,45
2025-04-17 12:21:48.354643;106,33;119,96;141,19;162,47;159,21;144,25;50,73;4,54;123,47;89,28;112,90;95,37
2025-04-17 12:21:48.402928;105,43;119,01;141,38;161,41;159,53;146,59;47,90;4,91;120,84;89,43;109,44;95,25
2025-04-17 12:21:48.454927;105,78;119,47;141,24;160,99;158,29;147,45;49,02;7,78;120,94;93,29;109,46;91,52
2025-04-17 12:21:48.504443;106,12;120,17;140,88;160,20;158,53;147,15;47,49;3,69;119,60;89,45;106,92;95,29
2025-04-17 12:21:48.553443;105,35;120,12;140,87;160,37;157,74;147,50;46,50;4,57;118,38;90,87;103,53;94,08
2025-04-17 12:21:48.596969;105,41;120,25;138,73;160,78;155,45;145,99;45,93;6,69;117,73;92,72;102,56;92,19
2025-04-17 12:21:48.639972;104,36;118,85;141,81;161,91;158,28;146,01;47,10;4,28;119,57;89,82;107,15;95,09
