timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:25:26.011400;103,18;96,69;177,27;176,22;174,11;145,91;13,70;11,05;85,27;70,46;78,60;96,76
2025-04-17 12:25:26.067929;103,21;95,13;177,16;176,90;173,77;145,38;13,60;11,02;84,92;70,71;78,95;96,59
2025-04-17 12:25:26.114926;103,03;95,55;177,33;176,56;174,33;146,50;12,95;10,27;84,86;71,29;78,99;95,92
2025-04-17 12:25:26.161442;102,63;95,51;177,34;177,38;174,20;145,31;12,87;12,20;84,61;69,56;79,24;98,30
2025-04-17 12:25:26.214444;102,27;98,08;177,59;175,67;174,94;147,48;12,69;12,11;85,23;69,46;78,38;98,45
2025-04-17 12:25:26.264957;102,04;99,65;177,75;174,44;175,05;148,37;12,83;12,16;85,59;69,26;78,01;98,66
2025-04-17 12:25:26.314867;102,63;98,32;177,60;174,61;174,69;147,43;12,77;12,03;85,13;69,49;78,65;98,43
2025-04-17 12:25:26.371385;102,53;98,78;177,72;174,06;174,92;148,21;12,93;11,50;85,45;69,96;78,27;97,75
2025-04-17 12:25:26.416386;102,35;102,64;177,85;172,86;175,56;150,19;13,33;11,24;86,54;69,87;77,05;97,81
2025-04-17 12:25:26.467905;102,11;109,86;177,82;175,99;175,12;146,95;12,86;11,06;85,67;70,40;77,99;97,29
2025-04-17 12:25:26.512908;101,93;111,27;177,96;176,76;175,10;146,55;12,82;9,32;85,53;72,27;78,19;95,11
2025-04-17 12:25:26.557414;101,94;108,26;177,79;172,75;175,78;150,35;13,61;9,63;87,06;71,71;76,50;95,87
2025-04-17 12:25:26.608422;101,63;106,80;178,13;172,21;175,75;150,15;13,62;9,27;87,04;71,61;76,61;96,07
2025-04-17 12:25:26.661949;101,50;106,53;178,27;171,90;175,75;150,06;13,65;8,94;87,08;71,66;76,59;96,09
2025-04-17 12:25:26.712943;102,01;113,59;178,06;173,69;175,06;146,65;12,24;9,39;84,75;72,32;79,52;95,90
2025-04-17 12:25:26.755945;102,12;108,55;178,21;173,99;174,95;146,58;12,17;7,40;84,67;74,36;80,12;93,75
2025-04-17 12:25:26.806457;102,19;113,35;178,11;174,80;174,50;145,45;12,11;5,64;84,05;76,33;80,97;91,95
2025-04-17 12:25:26.856469;101,72;114,85;178,30;170,45;173,60;134,88;11,29;4,50;82,66;78,80;82,94;91,63
2025-04-17 12:25:26.912978;101,44;116,65;175,76;136,99;168,17;96,36;7,94;1,46;76,71;87,27;89,96;84,11
2025-04-17 12:25:26.967495;101,61;116,88;174,89;135,22;166,88;94,93;7,25;1,98;75,33;88,29;92,00;83,61
2025-04-17 12:25:27.023513;101,50;114,08;174,35;111,37;164,01;66,85;7,37;6,79;71,28;87,25;97,66;85,21
2025-04-17 12:25:27.079011;101,67;116,03;174,33;115,29;163,62;68,17;11,61;6,29;73,85;88,97;95,69;83,00
2025-04-17 12:25:27.132012;101,84;115,39;174,36;115,17;163,35;67,46;12,54;5,58;74,99;89,80;94,55;81,11
2025-04-17 12:25:27.184529;101,80;114,54;174,57;110,94;162,77;62,54;15,68;5,33;78,04;91,28;91,16;79,50
2025-04-17 12:25:27.232528;102,00;117,99;175,03;117,94;164,11;73,82;19,74;7,58;82,63;95,59;86,15;75,83
2025-04-17 12:25:27.280046;101,40;117,76;175,74;126,49;164,75;82,59;22,41;15,95;84,40;103,12;85,99;70,56
2025-04-17 12:25:27.333047;100,77;122,06;176,26;128,94;165,37;85,21;24,57;18,34;86,26;103,39;85,63;71,73
2025-04-17 12:25:27.386673;100,66;123,12;175,67;126,21;165,09;85,44;25,02;18,39;86,35;101,71;86,23;74,63
2025-04-17 12:25:27.430671;100,62;119,64;175,72;114,75;164,43;70,07;28,83;18,17;88,69;102,67;84,54;74,32
2025-04-17 12:25:27.480192;100,38;120,84;174,99;105,76;163,18;60,42;32,76;18,25;92,58;103,19;80,47;74,42
2025-04-17 12:25:27.527191;100,93;119,80;175,00;105,07;163,17;59,53;32,22;18,53;90,66;103,89;83,11;74,13
2025-04-17 12:25:27.579710;101,46;120,03;175,39;106,18;163,70;59,08;31,78;18,90;89,17;105,09;85,98;73,04
2025-04-17 12:25:27.628709;100,52;117,52;176,12;103,33;163,13;53,28;37,19;20,87;93,01;104,33;85,33;74,74
2025-04-17 12:25:27.683229;100,92;117,79;175,87;105,79;163,06;54,41;39,62;23,36;95,01;107,29;86,36;73,48
2025-04-17 12:25:27.737231;100,87;117,40;175,83;103,80;162,76;50,78;40,88;23,70;95,75;107,60;86,84;73,69
2025-04-17 12:25:27.801752;101,13;121,28;175,84;102,52;163,25;52,26;42,07;24,64;97,15;108,71;86,62;72,98
2025-04-17 12:25:27.853770;99,91;124,40;175,85;120,54;164,82;78,34;44,96;27,09;102,56;109,34;83,42;73,28
2025-04-17 12:25:27.904281;100,83;126,54;174,10;102,53;160,48;41,65;43,46;26,18;95,73;108,40;86,76;74,88
2025-04-17 12:25:27.955286;101,52;121,12;173,28;106,08;160,12;49,37;43,12;26,57;94,12;109,11;86,98;73,74
2025-04-17 12:25:28.002797;101,74;118,24;173,49;102,96;159,71;46,64;43,55;27,02;92,63;110,05;87,54;71,97
2025-04-17 12:25:28.056806;102,07;115,17;173,39;104,63;159,48;46,00;44,27;27,47;92,68;109,08;87,05;72,80
2025-04-17 12:25:28.119319;102,45;115,98;172,09;103,59;158,51;46,73;46,05;27,85;94,85;109,04;85,93;72,94
2025-04-17 12:25:28.168834;103,94;115,29;172,08;102,98;159,29;47,25;48,88;30,64;96,94;112,42;86,87;71,53
2025-04-17 12:25:28.216854;105,17;115,64;171,68;104,08;159,57;49,42;50,24;31,83;97,59;113,93;87,29;70,83
2025-04-17 12:25:28.268352;104,97;124,67;173,82;134,65;164,55;87,16;52,38;35,08;103,33;113,22;84,72;72,65
2025-04-17 12:25:28.320358;105,97;125,87;175,38;155,34;167,19;109,07;52,98;34,88;104,37;111,26;85,80;74,25
2025-04-17 12:25:28.379927;106,89;119,99;174,31;140,04;165,62;92,83;55,10;36,34;105,25;115,48;85,91;71,31
2025-04-17 12:25:28.434927;106,94;125,19;176,26;174,89;169,64;130,84;57,17;38,33;108,23;112,66;89,52;76,10
2025-04-17 12:25:28.489273;107,21;125,56;176,68;175,81;170,88;132,04;57,90;38,88;108,90;112,36;91,12;77,47
2025-04-17 12:25:28.543277;107,90;121,64;176,25;154,64;172,55;149,38;58,72;40,98;111,10;112,47;90,47;78,36
2025-04-17 12:25:28.591792;107,68;122,26;176,85;164,24;172,45;137,33;60,26;39,08;111,04;109,26;91,29;82,15
2025-04-17 12:25:28.690311;107,50;130,81;177,07;173,39;171,99;124,01;61,63;41,58;110,72;112,89;92,68;82,25
2025-04-17 12:25:28.748315;107,68;129,73;175,66;131,09;165,90;74,51;61,29;39,54;105,18;112,51;95,34;85,96
2025-04-17 12:25:28.803840;108,02;129,16;174,62;126,65;163,96;71,37;61,47;39,68;104,18;112,44;96,15;86,62
2025-04-17 12:25:28.852832;108,66;130,43;174,04;132,49;163,59;80,94;61,95;40,36;104,39;112,90;96,20;86,06
2025-04-17 12:25:28.964867;109,10;131,56;173,99;139,76;164,43;91,22;62,01;41,15;104,64;113,40;96,94;86,19
2025-04-17 12:25:29.016870;108,48;129,85;175,10;157,11;165,94;111,38;62,52;42,55;106,30;113,91;96,18;84,67
2025-04-17 12:25:29.069379;108,39;129,73;175,01;157,37;165,99;109,75;62,65;42,58;106,34;114,25;96,89;84,47
