timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:20:40.012978;106,44;105,56;139,17;137,55;172,63;175,25;79,89;73,09;110,66;73,90;161,28;156,92
2025-04-17 12:20:40.056977;106,34;105,56;139,31;137,49;172,69;175,29;79,80;72,47;111,84;72,79;161,07;156,36
2025-04-17 12:20:40.110497;106,00;105,40;139,58;137,57;172,87;175,12;79,55;70,94;115,79;68,86;160,45;155,68
2025-04-17 12:20:40.156511;106,10;105,78;139,42;137,32;172,90;175,10;79,66;71,14;115,59;68,99;160,19;155,31
2025-04-17 12:20:40.215021;105,63;105,43;139,55;137,58;172,83;174,99;79,42;70,64;117,01;67,57;160,10;155,04
2025-04-17 12:20:40.268021;105,72;105,60;139,41;137,37;172,85;175,12;79,46;70,98;116,31;68,29;160,42;155,43
2025-04-17 12:20:40.321659;104,86;105,17;140,25;137,57;174,35;174,27;76,42;67,82;115,96;68,91;159,47;153,68
2025-04-17 12:20:40.363658;104,43;105,25;140,56;136,19;174,94;173,97;72,57;65,28;111,56;73,41;158,87;153,37
2025-04-17 12:20:40.415174;103,18;104,36;141,18;136,50;174,71;171,98;69,81;60,10;116,63;68,75;157,20;152,31
2025-04-17 12:20:40.463175;101,81;103,71;142,35;137,14;174,32;170,31;67,69;56,63;119,61;66,23;156,47;149,90
2025-04-17 12:20:40.514690;101,41;103,86;142,70;136,86;174,38;169,88;67,28;55,11;123,06;62,84;157,19;148,42
2025-04-17 12:20:40.560691;101,64;103,20;142,37;137,15;173,91;169,77;65,58;54,07;120,86;65,32;154,50;146,01
2025-04-17 12:20:40.606695;101,36;102,22;142,67;137,25;174,02;168,03;65,31;50,17;129,12;58,37;152,27;142,67
2025-04-17 12:20:40.657209;101,26;102,76;142,35;136,32;173,91;169,74;64,87;52,46;124,05;63,39;151,84;144,45
2025-04-17 12:20:40.714739;101,61;102,83;141,86;136,16;173,49;170,00;63,66;52,56;121,26;66,18;151,60;145,45
2025-04-17 12:20:40.761740;101,45;102,36;141,85;136,76;173,75;169,00;62,96;50,31;125,21;62,97;148,60;146,56
2025-04-17 12:20:40.810258;101,48;102,30;141,55;136,82;173,49;169,56;62,30;51,01;119,68;68,79;149,85;146,71
2025-04-17 12:20:40.859259;101,58;103,03;140,94;134,80;173,69;171,06;62,37;50,74;115,80;73,23;149,80;145,30
2025-04-17 12:20:40.905282;103,25;104,39;140,34;133,95;172,41;170,75;57,98;48,97;116,13;77,00;140,07;139,74
2025-04-17 12:20:40.955775;103,10;105,14;140,87;133,73;172,15;170,34;58,61;49,16;117,02;77,14;140,11;139,17
2025-04-17 12:20:41.004782;102,61;104,76;141,59;134,61;171,98;169,90;58,16;48,24;116,93;78,03;138,87;137,20
2025-04-17 12:20:41.051295;103,33;105,48;141,52;134,00;171,42;170,18;57,78;48,48;115,28;80,42;139,05;137,03
2025-04-17 12:20:41.094296;103,23;105,67;141,73;134,09;171,08;169,45;56,21;45,48;116,67;80,87;136,79;133,69
2025-04-17 12:20:41.136815;103,97;106,33;141,96;134,57;170,27;168,19;55,46;45,08;117,17;81,30;135,62;132,72
2025-04-17 12:20:41.184815;104,09;106,23;141,79;134,83;170,32;167,81;54,62;44,43;117,76;81,32;134,05;131,86
2025-04-17 12:20:41.239336;104,21;106,86;142,17;133,90;169,66;166,92;52,35;40,06;121,13;79,30;130,88;126,59
2025-04-17 12:20:41.289336;105,02;107,67;142,08;132,99;169,00;167,36;50,61;39,80;119,89;80,28;130,45;124,88
2025-04-17 12:20:41.338671;105,64;107,97;141,76;132,61;168,43;167,55;48,99;38,11;118,56;82,73;126,79;121,02
2025-04-17 12:20:41.393670;106,00;108,18;142,74;132,39;168,10;167,55;48,58;36,16;120,03;82,31;128,01;119,33
2025-04-17 12:20:41.446198;106,18;108,12;142,77;132,37;167,99;167,76;48,22;35,80;119,55;82,84;126,71;118,17
2025-04-17 12:20:41.546713;106,25;108,32;143,45;132,55;167,66;167,22;42,51;34,36;115,83;84,71;122,31;116,22
2025-04-17 12:20:41.593716;106,16;108,37;143,48;132,23;167,62;167,12;42,49;34,33;115,46;85,13;122,25;116,33
2025-04-17 12:20:41.642243;105,82;108,09;143,54;132,33;167,75;166,97;41,58;32,46;114,84;86,43;121,99;114,94
2025-04-17 12:20:41.695244;105,49;108,20;144,06;132,58;166,75;166,85;39,43;32,58;111,24;89,67;122,36;115,14
2025-04-17 12:20:41.745757;105,26;108,25;144,30;132,76;166,30;166,71;38,98;32,58;109,59;91,27;122,74;115,18
2025-04-17 12:20:41.798762;104,84;108,32;144,68;133,28;166,35;165,75;37,60;29,03;110,65;90,96;120,52;111,67
2025-04-17 12:20:41.843274;105,47;108,82;143,87;132,93;166,49;165,42;37,57;29,08;110,56;90,64;119,69;111,48
2025-04-17 12:20:41.896283;106,28;110,05;143,51;132,20;166,51;165,40;37,64;29,07;110,46;90,65;120,51;110,84
2025-04-17 12:20:41.942795;107,08;110,58;142,94;132,04;167,43;166,11;37,98;29,33;110,80;90,36;120,10;109,97
2025-04-17 12:20:41.995801;109,27;112,19;140,92;130,98;169,83;167,19;38,14;29,39;111,89;88,89;116,67;109,74
2025-04-17 12:20:42.051314;108,32;111,26;141,51;131,78;170,63;167,82;37,73;29,13;110,53;90,26;115,75;110,59
2025-04-17 12:20:42.097323;109,26;112,28;140,33;131,32;173,61;170,56;38,98;31,63;110,45;89,52;112,40;109,54
2025-04-17 12:20:42.143830;109,18;112,20;140,22;131,46;173,08;170,25;38,32;31,49;108,72;90,93;112,19;110,01
2025-04-17 12:20:42.191832;109,07;111,86;139,94;131,87;173,52;170,21;38,07;31,68;109,07;90,14;111,46;110,46
2025-04-17 12:20:42.243349;110,21;113,38;138,66;130,44;174,45;170,90;39,50;31,93;111,17;88,14;110,83;109,57
2025-04-17 12:20:42.304355;109,90;113,34;138,99;130,76;174,36;171,43;38,98;32,31;109,32;90,05;111,63;110,14
2025-04-17 12:20:42.360870;110,55;114,04;138,67;130,61;174,12;171,64;38,58;33,23;107,70;91,25;111,63;110,46
2025-04-17 12:20:42.409380;110,08;113,85;139,13;131,21;174,09;171,26;38,33;32,53;108,23;90,61;111,34;109,71
2025-04-17 12:20:42.461386;110,08;113,92;138,82;131,22;174,30;171,60;38,79;33,07;108,30;90,32;111,61;110,16
2025-04-17 12:20:42.510902;110,87;114,86;138,21;130,62;174,48;172,51;40,14;34,67;108,08;90,32;112,06;110,92
2025-04-17 12:20:42.557902;111,77;115,73;137,57;130,40;174,00;172,83;41,38;36,43;108,54;89,41;112,30;111,29
2025-04-17 12:20:42.602910;112,57;116,19;137,09;130,72;173,90;172,60;42,08;35,61;109,62;88,44;113,13;110,33
2025-04-17 12:20:42.647420;113,13;116,90;136,89;130,30;172,54;172,95;44,10;37,03;110,75;87,21;113,02;110,71
2025-04-17 12:20:42.698430;113,42;116,33;136,88;130,87;173,57;172,85;42,46;36,03;109,57;88,25;113,12;111,68
2025-04-17 12:20:42.754831;112,90;116,41;136,82;131,05;172,56;172,89;43,24;37,37;108,64;88,98;112,85;111,54
2025-04-17 12:20:42.800835;112,66;116,03;137,05;131,56;172,19;172,90;43,59;36,98;109,87;87,52;112,93;111,72
2025-04-17 12:20:42.847352;111,78;115,95;137,07;131,48;170,63;172,61;44,79;37,47;110,32;87,19;113,30;111,11
2025-04-17 12:20:42.899358;110,85;115,83;137,42;131,53;170,38;172,50;44,80;37,53;110,38;86,83;112,90;111,11
2025-04-17 12:20:42.946873;110,49;115,71;137,54;131,59;170,32;172,40;44,71;37,62;110,13;86,92;112,69;111,03
2025-04-17 12:20:42.989870;110,50;115,34;137,79;132,08;171,44;172,86;44,42;34,75;112,16;85,16;112,92;110,46
2025-04-17 12:20:43.040393;110,68;115,21;137,98;132,28;173,65;172,48;40,67;32,55;111,00;85,62;112,71;111,06
2025-04-17 12:20:43.093394;111,34;115,64;138,17;132,48;174,12;172,22;40,66;32,76;111,15;85,29;113,12;111,22
2025-04-17 12:20:43.156463;111,61;115,72;138,16;132,57;173,92;172,51;41,10;33,76;110,63;85,50;114,16;112,29
2025-04-17 12:20:43.213556;111,45;115,18;138,46;132,58;174,00;172,73;40,90;34,66;109,44;86,54;114,61;112,61
2025-04-17 12:20:43.268574;111,31;115,33;138,63;131,98;174,42;172,76;40,02;34,59;108,40;87,40;115,24;112,86
2025-04-17 12:20:43.317176;109,33;114,09;140,67;132,04;174,75;172,75;38,49;31,94;107,33;88,35;115,89;111,33
2025-04-17 12:20:43.367174;109,34;113,82;140,55;131,78;174,77;172,83;38,23;32,19;106,64;88,46;116,16;112,08
2025-04-17 12:20:43.420696;109,33;113,95;140,53;131,17;174,74;172,89;38,19;32,22;106,63;87,80;116,21;112,66
2025-04-17 12:20:43.471692;108,96;113,54;140,81;131,37;174,68;172,94;38,24;31,90;106,55;87,50;116,32;113,53
2025-04-17 12:20:43.521227;108,91;113,28;141,04;131,41;174,75;172,97;37,11;31,81;105,12;88,41;116,16;114,06
2025-04-17 12:20:43.569224;108,83;113,47;140,80;130,45;174,07;172,96;37,07;31,58;104,90;88,46;114,66;113,16
2025-04-17 12:20:43.615750;108,94;113,20;141,05;130,63;174,16;172,89;36,74;31,54;104,02;88,87;114,56;113,94
2025-04-17 12:20:43.662753;108,96;113,31;140,76;130,03;173,99;172,44;36,82;33,42;101,94;90,59;114,87;114,59
2025-04-17 12:20:43.710271;109,00;113,44;140,63;129,71;173,87;172,16;37,01;34,22;101,02;91,37;115,09;114,83
2025-04-17 12:20:43.759304;109,10;113,45;140,67;129,86;173,70;172,23;37,14;34,14;101,52;90,76;114,90;114,69
2025-04-17 12:20:43.810820;109,19;113,43;140,50;129,76;173,36;172,14;37,66;34,52;101,79;90,42;115,22;115,20
2025-04-17 12:20:43.857815;108,40;113,03;140,69;130,12;172,84;172,03;37,77;33,93;102,10;90,36;115,22;114,52
2025-04-17 12:20:43.913339;108,60;113,23;140,53;129,64;172,58;171,62;38,02;34,14;102,10;90,37;115,01;114,25
2025-04-17 12:20:43.963341;109,13;113,79;139,74;129,09;172,44;171,69;39,55;34,17;102,95;89,74;115,90;114,33
2025-04-17 12:20:44.017868;109,28;113,89;139,23;128,89;172,21;172,12;40,01;33,86;104,50;88,02;116,03;114,95
2025-04-17 12:20:44.068865;109,49;113,84;139,44;129,01;172,76;172,32;39,15;33,89;103,76;88,62;115,76;115,16
2025-04-17 12:20:44.128396;109,58;114,02;139,43;129,29;172,55;172,16;39,44;34,50;103,76;88,58;115,92;115,42
2025-04-17 12:20:44.175393;109,62;113,84;139,01;129,05;172,45;172,15;39,50;34,58;103,93;88,70;115,75;114,69
2025-04-17 12:20:44.230940;109,63;113,74;138,69;129,07;172,34;172,75;39,64;33,92;105,90;86,59;115,01;114,98
2025-04-17 12:20:44.280936;109,66;113,63;138,51;129,29;173,79;173,07;37,97;32,94;104,84;88,05;114,60;114,04
2025-04-17 12:20:44.331478;110,57;114,18;137,66;128,70;173,59;173,05;38,12;32,93;104,83;88,45;114,16;113,22
2025-04-17 12:20:44.385476;110,56;114,13;137,74;128,75;174,06;173,12;37,62;32,55;105,49;87,88;114,09;113,81
2025-04-17 12:20:44.440005;110,84;114,39;137,52;129,03;173,64;173,12;38,52;33,80;106,08;87,28;113,93;114,52
2025-04-17 12:20:44.488995;111,51;114,89;136,70;129,41;173,08;173,07;39,77;34,09;107,76;85,59;113,60;114,34
