timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:23:32.006932;101,95;102,77;144,96;139,36;170,97;172,56;61,80;73,66;75,45;103,45;157,64;164,17
2025-04-17 12:23:32.061461;102,15;103,02;144,68;139,45;170,28;172,54;60,86;73,64;72,55;106,25;157,19;164,12
2025-04-17 12:23:32.110461;102,20;102,98;144,64;139,70;170,64;172,56;61,26;73,96;72,73;105,99;157,16;164,00
2025-04-17 12:23:32.160978;102,56;103,56;144,18;138,98;172,34;172,55;64,18;74,31;78,05;100,59;158,56;165,93
2025-04-17 12:23:32.218985;102,62;103,49;144,18;139,26;172,27;172,57;64,02;74,29;77,88;100,67;158,40;165,63
2025-04-17 12:23:32.258496;102,84;103,61;143,89;139,20;172,92;172,56;64,88;74,33;80,29;98,31;158,72;165,60
2025-04-17 12:23:32.308499;103,45;104,34;143,76;138,91;173,14;172,52;64,84;74,90;80,19;98,42;158,18;165,58
2025-04-17 12:23:32.356041;103,38;104,31;144,27;139,33;172,69;172,50;64,73;75,53;78,47;100,19;158,18;165,79
2025-04-17 12:23:32.414799;103,08;103,47;144,18;139,89;171,53;172,44;62,83;75,60;72,80;105,98;157,83;164,77
2025-04-17 12:23:32.466348;102,80;102,79;144,44;140,26;170,48;172,41;62,22;75,50;68,71;110,15;159,20;164,68
2025-04-17 12:23:32.516350;102,25;102,37;145,83;140,96;169,15;172,51;62,09;75,24;67,39;111,56;160,17;164,32
2025-04-17 12:23:32.566402;102,38;102,74;146,00;140,87;169,06;172,60;62,08;73,88;69,63;109,56;160,18;162,97
2025-04-17 12:23:32.619412;102,74;103,18;145,98;141,14;169,10;172,57;62,74;74,87;67,12;111,23;160,93;162,95
2025-04-17 12:23:32.669911;103,14;103,72;145,63;140,91;170,25;172,60;65,40;75,17;69,83;108,46;162,71;163,06
2025-04-17 12:23:32.716913;102,73;103,62;146,05;140,88;170,30;172,68;64,53;74,22;71,73;107,07;161,13;162,09
2025-04-17 12:23:32.773426;103,84;105,39;144,47;139,33;172,66;172,68;68,05;74,75;78,37;100,65;161,90;162,05
2025-04-17 12:23:32.821431;103,71;105,85;143,97;138,87;173,35;172,71;69,27;74,68;80,87;98,73;162,72;161,97
2025-04-17 12:23:32.872944;103,10;105,06;143,80;138,22;173,57;172,51;68,72;74,00;80,72;99,15;162,49;161,35
2025-04-17 12:23:32.923953;100,70;102,53;145,78;138,02;166,89;172,60;57,98;65,41;74,10;106,29;157,54;154,05
2025-04-17 12:23:32.975466;100,59;102,97;145,89;137,95;167,50;172,36;56,79;62,45;77,04;103,56;154,69;150,14
2025-04-17 12:23:33.027810;100,55;103,32;145,88;136,93;166,56;172,28;54,68;60,66;76,05;104,91;152,78;147,52
2025-04-17 12:23:33.078824;99,91;103,60;148,01;137,44;161,87;171,01;44,38;51,86;75,41;107,08;142,67;136,44
2025-04-17 12:23:33.128337;101,08;104,39;147,36;136,19;162,14;170,81;43,89;49,51;77,91;104,59;141,33;133,26
2025-04-17 12:23:33.180333;100,88;104,15;147,92;136,46;160,70;169,61;39,17;45,48;80,02;103,66;135,99;130,44
