timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:27:59.011619;90,24;130,63;165,32;174,65;177,28;153,27;75,33;65,24;45,90;135,31;131,04;55,71
2025-04-17 12:27:59.053618;90,25;131,29;165,38;174,64;177,27;153,22;75,38;64,38;45,91;134,24;131,12;46,06
2025-04-17 12:27:59.100137;90,34;131,16;165,24;174,67;177,23;153,16;75,34;64,62;45,88;134,56;130,86;61,81
2025-04-17 12:27:59.143139;90,42;131,07;165,13;174,69;177,19;153,12;75,32;65,04;45,90;135,11;130,71;76,35
2025-04-17 12:27:59.187674;90,49;131,11;165,11;174,62;177,15;153,22;75,31;65,13;45,87;135,11;131,05;76,81
2025-04-17 12:27:59.230675;90,38;131,24;164,84;174,67;177,01;153,04;75,15;67,17;45,16;137,48;131,73;96,54
2025-04-17 12:27:59.274682;90,44;132,25;164,90;174,25;176,99;152,85;75,15;66,72;45,77;136,87;131,32;77,95
2025-04-17 12:27:59.314192;90,88;132,17;165,23;174,11;177,13;152,60;75,09;64,56;46,18;134,35;131,02;46,39
2025-04-17 12:27:59.361193;90,91;131,95;165,24;174,29;177,13;152,93;75,10;62,61;46,09;131,81;131,21;30,54
2025-04-17 12:27:59.400709;90,54;131,51;165,09;174,28;177,04;153,49;75,36;62,55;45,38;131,41;131,99;29,33
2025-04-17 12:27:59.440707;90,44;131,41;165,08;174,24;177,02;153,61;75,47;62,59;45,16;131,20;132,27;29,58
2025-04-17 12:27:59.480775;90,79;131,44;165,35;174,25;177,11;153,75;75,66;62,96;46,07;131,83;131,31;44,37
2025-04-17 12:27:59.522773;90,56;131,17;165,25;174,25;177,21;153,68;75,57;64,29;45,86;133,68;131,51;66,76
2025-04-17 12:27:59.566970;90,27;131,31;165,24;174,21;177,22;153,51;75,54;64,26;46,00;133,50;131,40;61,80
2025-04-17 12:27:59.610396;90,56;131,76;165,53;174,44;177,37;152,74;75,34;64,23;46,38;133,81;130,88;53,68
2025-04-17 12:27:59.652399;90,96;132,19;165,61;174,42;177,27;152,40;75,10;64,90;45,87;134,87;131,45;74,28
2025-04-17 12:27:59.700912;91,07;132,29;165,85;174,68;177,39;151,55;75,01;66,53;45,98;137,11;131,35;92,71
2025-04-17 12:27:59.742912;91,08;131,30;165,60;175,05;177,33;151,68;74,85;68,52;45,35;139,76;131,65;104,41
