timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:30:43.014018;101,27;114,49;172,93;173,18;169,47;154,80;33,70;37,39;101,41;117,16;89,08;90,62
2025-04-17 12:30:43.058016;101,36;114,65;172,97;173,09;169,52;154,60;34,10;37,48;101,91;117,22;88,96;90,54
2025-04-17 12:30:43.101530;101,27;114,56;173,03;173,22;169,56;154,46;34,46;38,23;102,34;117,88;88,69;91,39
2025-04-17 12:30:43.145537;101,22;114,76;172,74;173,32;169,24;154,28;34,88;38,24;102,79;117,79;88,23;90,85
2025-04-17 12:30:43.192050;101,13;114,68;172,74;173,15;168,95;154,27;35,68;38,65;103,38;118,23;87,56;91,43
2025-04-17 12:30:43.241061;101,16;114,60;172,41;173,22;168,65;154,18;35,89;38,65;103,62;118,11;87,62;90,71
2025-04-17 12:30:43.283071;101,80;115,38;171,95;172,58;168,74;153,40;36,17;38,90;103,95;118,27;87,40;89,78
2025-04-17 12:30:43.327596;101,55;115,23;172,14;172,51;168,74;153,52;36,31;39,00;104,14;118,14;87,24;89,32
2025-04-17 12:30:43.373312;101,17;115,20;172,27;172,42;168,61;153,39;36,46;38,94;104,44;117,83;86,97;89,04
2025-04-17 12:30:43.420846;101,28;115,12;172,24;172,55;168,93;153,25;35,98;39,09;104,07;117,79;86,88;88,39
2025-04-17 12:30:43.466843;101,38;115,18;172,18;172,53;169,05;153,01;35,92;39,21;103,97;117,79;86,69;88,03
2025-04-17 12:30:43.517372;101,39;115,09;172,27;172,03;169,24;153,26;35,95;39,26;103,94;117,62;86,64;87,74
2025-04-17 12:30:43.565377;101,36;115,10;172,30;172,09;169,29;153,30;35,82;39,20;103,80;117,57;86,54;87,21
2025-04-17 12:30:43.611906;101,30;120,28;172,31;172,26;169,37;153,52;35,86;39,15;103,94;117,36;86,49;86,99
2025-04-17 12:30:43.657908;101,31;119,86;172,29;172,33;169,44;153,21;35,85;39,53;104,05;117,70;86,49;87,19
2025-04-17 12:30:43.706484;101,78;119,61;172,86;172,20;170,70;153,17;35,34;39,62;103,95;117,84;87,36;87,13
2025-04-17 12:30:43.753486;101,49;119,13;173,42;172,39;171,15;153,23;35,35;40,35;104,46;118,43;87,64;87,51
2025-04-17 12:30:43.800015;101,46;119,35;174,39;172,37;172,22;152,94;35,11;40,66;104,57;118,62;88,26;87,47
2025-04-17 12:30:43.849012;101,14;118,75;175,33;172,42;173,44;153,35;34,98;41,07;105,14;118,76;88,47;87,69
2025-04-17 12:30:43.897098;101,20;118,25;175,32;172,65;173,13;153,49;34,14;40,99;104,02;119,09;89,55;87,59
2025-04-17 12:30:43.942096;100,99;118,07;175,82;172,78;173,11;154,16;33,15;39,04;102,74;118,33;90,55;87,36
2025-04-17 12:30:43.993628;100,48;119,43;175,89;174,18;172,81;154,42;31,89;37,69;101,77;117,22;91,77;87,17
2025-04-17 12:30:44.040624;101,88;121,65;174,87;174,63;172,92;153,40;29,03;30,93;100,25;111,74;93,32;87,64
2025-04-17 12:30:44.084642;101,74;119,67;174,84;173,86;173,12;154,38;28,86;29,94;100,65;111,20;94,42;90,69
2025-04-17 12:30:44.128163;102,33;121,56;174,47;173,23;173,03;154,04;28,44;29,44;100,14;110,79;94,81;88,52
2025-04-17 12:30:44.176158;102,62;119,23;174,70;173,09;173,43;153,93;28,00;28,25;99,73;109,71;95,63;89,14
2025-04-17 12:30:44.224700;102,53;117,71;174,75;173,04;173,31;153,38;29,67;28,89;101,39;109,86;95,70;87,51
2025-04-17 12:30:44.268677;102,62;117,70;174,87;174,47;172,84;151,69;30,30;28,18;101,47;109,24;95,92;85,51
2025-04-17 12:30:44.316219;102,65;116,58;174,99;174,22;173,04;152,62;30,85;28,39;102,51;109,10;95,59;85,56
2025-04-17 12:30:44.363217;102,55;118,32;175,17;174,10;173,12;152,66;30,85;28,31;102,51;109,02;95,84;85,42
2025-04-17 12:30:44.408647;101,46;115,59;175,68;173,39;172,71;153,23;30,98;30,02;102,51;110,63;98,57;86,41
2025-04-17 12:30:44.457662;100,50;118,36;175,52;173,06;172,48;153,88;31,61;31,29;103,86;111,73;98,63;88,28
2025-04-17 12:30:44.509180;100,60;117,62;175,15;172,41;172,19;154,46;32,41;31,29;104,35;112,13;101,23;87,50
2025-04-17 12:30:44.563195;100,92;116,54;174,78;172,15;172,06;154,47;34,41;31,65;106,14;112,61;101,57;88,73
2025-04-17 12:30:44.609719;100,29;121,34;174,85;171,55;172,05;155,10;35,04;33,25;107,27;113,69;102,09;88,87
2025-04-17 12:30:44.657090;100,63;118,12;174,51;171,55;172,02;154,63;37,99;33,88;110,14;114,03;101,35;87,30
2025-04-17 12:30:44.702549;101,24;117,37;174,09;169,85;170,90;154,53;40,06;33,76;110,83;113,98;101,12;87,31
2025-04-17 12:30:44.750550;101,88;124,02;175,16;169,51;172,37;154,02;42,03;34,59;111,56;114,62;101,44;86,05
2025-04-17 12:30:44.803143;102,19;122,62;175,99;169,31;173,53;153,14;43,39;35,53;111,79;115,46;101,36;84,84
2025-04-17 12:30:44.849146;104,05;130,63;175,85;169,40;173,77;151,20;46,09;36,58;112,42;116,70;100,70;82,46
