timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:33:25.025449;98,70;118,78;172,43;170,42;169,33;158,91;33,45;38,06;104,34;115,41;99,78;102,03
2025-04-17 12:33:25.069457;98,81;118,78;172,47;170,59;169,46;158,72;33,53;38,15;104,42;115,55;100,06;102,59
2025-04-17 12:33:25.115974;98,80;118,74;172,51;170,67;169,50;158,74;33,58;38,21;104,55;115,61;100,22;103,02
2025-04-17 12:33:25.161003;98,77;118,83;172,52;170,54;169,49;158,78;33,61;38,20;104,53;115,62;100,26;103,12
2025-04-17 12:33:25.203514;98,42;118,68;172,65;170,43;169,43;158,98;33,58;38,15;104,71;115,34;100,23;103,29
2025-04-17 12:33:25.244513;98,46;118,70;172,64;170,43;169,57;158,97;33,30;38,16;104,48;115,35;100,37;103,52
2025-04-17 12:33:25.287035;98,74;118,86;172,39;170,35;169,55;158,75;33,28;38,18;104,39;115,41;100,36;103,65
2025-04-17 12:33:25.332031;98,68;118,44;172,28;170,36;169,31;159,16;34,19;38,16;105,41;115,41;100,48;103,41
2025-04-17 12:33:25.472067;98,04;118,01;172,63;169,90;169,28;159,56;34,25;37,72;105,77;114,83;100,21;103,53
2025-04-17 12:33:25.515073;98,09;118,30;172,64;169,81;169,33;159,19;34,20;37,83;105,71;114,90;100,23;103,20
2025-04-17 12:33:25.563080;98,89;118,87;172,45;169,99;169,87;158,33;34,06;37,56;105,37;114,69;100,32;102,82
2025-04-17 12:33:25.610596;98,88;118,96;172,50;169,99;169,83;158,35;34,13;37,55;105,42;114,69;100,24;103,06
2025-04-17 12:33:25.658607;98,97;118,98;172,52;170,15;169,88;158,34;34,10;37,62;105,32;114,77;100,27;103,10
2025-04-17 12:33:25.714036;98,84;118,54;172,62;170,18;169,87;158,83;33,64;37,55;104,85;114,72;100,30;103,37
2025-04-17 12:33:25.889086;98,83;118,64;172,68;170,25;169,92;158,75;33,87;37,55;105,13;114,77;100,02;103,72
2025-04-17 12:33:25.932089;98,64;118,83;172,80;169,56;169,97;159,23;34,01;37,31;105,40;114,56;100,37;104,04
2025-04-17 12:33:25.990618;98,47;118,91;172,87;169,17;169,95;159,55;34,09;37,16;105,54;114,43;100,54;104,25
2025-04-17 12:33:26.033617;99,30;120,43;172,69;168,42;170,32;158,77;33,87;37,18;105,04;114,48;100,53;104,14
2025-04-17 12:33:26.078136;99,36;120,27;172,67;168,81;170,24;158,74;33,79;37,19;104,94;114,44;100,35;103,66
