timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:29:32.001618;97,84;136,32;173,57;172,07;173,22;151,53;95,12;75,93;127,52;119,95;122,56;102,39
2025-04-17 12:29:32.044978;97,89;136,55;173,65;171,84;173,07;152,07;95,38;75,69;127,87;120,03;122,75;102,48
2025-04-17 12:29:32.096032;97,66;136,98;173,65;171,86;173,15;152,07;95,36;75,87;128,40;119,90;121,87;103,31
2025-04-17 12:29:32.141573;98,12;136,46;174,08;171,63;173,05;151,60;95,30;76,26;128,21;120,33;121,62;103,14
2025-04-17 12:29:32.194600;98,16;135,63;174,04;171,47;173,08;151,58;94,95;76,31;128,10;120,42;121,78;103,12
2025-04-17 12:29:32.248750;98,06;134,68;173,90;171,47;173,15;151,56;94,37;75,63;127,73;119,92;121,62;101,81
2025-04-17 12:29:32.301372;97,57;135,62;173,56;172,02;173,12;152,04;93,70;75,07;127,20;119,53;122,50;101,39
2025-04-17 12:29:32.349400;97,55;136,48;173,58;171,93;173,23;151,72;92,81;73,71;126,70;119,18;121,69;100,90
2025-04-17 12:29:32.394352;98,17;137,31;174,14;171,72;173,20;151,35;88,96;69,32;125,35;117,51;119,09;98,61
2025-04-17 12:29:32.441382;99,81;138,82;175,09;171,01;173,13;150,67;86,85;67,24;123,94;117,66;118,37;96,81
2025-04-17 12:29:32.492392;99,90;136,32;175,04;170,58;173,40;150,58;84,66;63,42;122,66;118,32;116,35;95,22
2025-04-17 12:29:32.541969;98,58;134,65;174,33;170,61;174,83;150,74;81,63;60,05;120,93;118,59;114,75;93,26
2025-04-17 12:29:32.588410;98,30;134,35;174,17;170,64;175,29;149,92;80,32;59,63;120,84;119,06;113,77;92,65
2025-04-17 12:29:32.640123;98,01;133,93;174,04;170,80;175,62;149,09;79,65;59,78;120,98;120,17;112,77;91,55
2025-04-17 12:29:32.698130;99,91;134,85;175,16;171,45;175,70;146,31;77,15;57,66;120,32;118,89;109,37;90,29
2025-04-17 12:29:32.804118;99,90;133,93;174,85;171,69;176,13;147,37;76,15;55,76;120,22;118,89;111,06;90,32
2025-04-17 12:29:32.855412;99,78;133,83;174,72;171,77;176,15;147,41;74,87;54,52;119,22;118,52;111,20;89,48
2025-04-17 12:29:32.907446;98,43;132,58;174,43;171,33;175,97;149,78;69,16;50,73;118,70;117,69;108,32;87,85
2025-04-17 12:29:32.956674;98,64;132,90;175,10;171,04;175,14;149,65;65,53;49,57;118,42;116,81;104,90;87,35
2025-04-17 12:29:33.015126;98,82;132,80;175,32;170,08;175,49;150,61;62,41;48,37;116,97;116,35;103,62;86,61
2025-04-17 12:29:33.065348;99,07;132,47;175,40;169,53;175,24;151,14;62,38;48,85;117,21;117,13;102,28;87,93
2025-04-17 12:29:33.117887;99,44;135,25;175,74;170,02;174,41;151,12;62,12;46,39;117,26;115,65;103,28;87,16
2025-04-17 12:29:33.167023;101,09;134,81;176,35;168,68;174,02;150,98;62,15;45,77;118,07;117,86;100,56;83,44
2025-04-17 12:29:33.220189;100,74;133,79;176,40;168,63;174,12;149,79;59,94;48,25;118,01;119,13;99,51;85,93
2025-04-17 12:29:33.269188;100,42;136,18;176,32;168,63;174,65;148,40;58,20;47,53;117,96;117,75;97,85;86,09
