timestamp;left_ankle;right_ankle;left_knee;right_knee;left_hip;right_hip;left_vertical_shoulder;right_vertical_shoulder;left_horizontal_shoulder;right_horizontal_shoulde;left_elbow;right_elbow
2025-04-17 12:32:09.036148;96,66;125,51;176,37;168,50;168,35;156,80;73,09;50,73;121,99;122,12;123,82;101,87
2025-04-17 12:32:09.091529;96,53;125,12;176,36;168,54;168,28;156,81;73,09;51,07;122,12;122,27;123,64;101,95
2025-04-17 12:32:09.136528;95,78;124,70;176,60;168,99;168,28;156,49;72,55;51,50;121,89;122,27;123,43;102,01
2025-04-17 12:32:09.183532;95,48;124,58;176,52;168,50;168,05;157,14;72,37;51,63;121,84;121,52;123,94;102,02
2025-04-17 12:32:09.243045;95,38;124,57;176,46;168,18;168,17;157,42;72,02;51,58;121,64;120,94;124,20;102,40
2025-04-17 12:32:09.287053;95,71;128,57;176,43;167,53;167,71;157,21;73,06;51,74;122,48;120,34;123,98;102,68
2025-04-17 12:32:09.335573;95,76;128,42;176,39;167,57;167,76;156,96;73,06;51,77;122,56;119,57;123,94;103,32
2025-04-17 12:32:09.381570;95,88;128,22;176,35;167,86;167,85;156,68;73,05;51,79;122,58;119,05;123,94;103,74
2025-04-17 12:32:09.424085;95,80;130,39;176,45;168,12;168,07;156,70;72,52;51,88;122,11;118,98;124,42;104,08
2025-04-17 12:32:09.475084;96,02;131,68;176,40;167,99;168,07;156,61;72,60;51,99;121,84;119,00;124,63;104,28
2025-04-17 12:32:09.533139;96,23;132,02;176,30;167,86;168,01;156,68;72,91;52,17;121,96;118,84;125,10;104,72
2025-04-17 12:32:09.582130;96,27;131,86;176,26;167,99;167,97;156,67;72,99;52,18;121,99;118,74;125,11;104,95
2025-04-17 12:32:09.628640;96,22;131,99;176,31;168,00;168,11;156,59;72,88;52,27;122,06;118,75;125,05;105,24
2025-04-17 12:32:09.680654;96,48;132,36;176,13;167,72;167,93;156,48;73,37;52,30;122,29;118,71;124,90;105,13
2025-04-17 12:32:09.736167;95,95;129,02;176,41;168,28;168,14;156,65;73,17;52,13;122,32;118,25;125,48;105,20
2025-04-17 12:32:09.787178;97,37;131,14;175,68;167,56;168,08;156,94;72,85;50,44;121,59;117,35;126,21;104,99
2025-04-17 12:32:09.841304;97,35;128,11;175,76;167,58;168,05;156,91;72,43;49,93;121,48;116,98;126,12;104,33
2025-04-17 12:32:09.897824;97,73;129,20;175,56;167,46;167,73;157,09;72,62;49,45;121,91;117,21;126,15;104,35
2025-04-17 12:32:09.941824;97,53;129,92;175,85;167,64;167,96;156,90;72,03;49,45;121,87;117,07;125,42;104,45
2025-04-17 12:32:09.990340;96,88;129,50;176,10;167,93;168,09;157,11;70,91;49,00;121,99;116,07;124,90;105,58
2025-04-17 12:32:10.038347;96,32;130,12;176,22;168,21;167,97;156,53;69,62;48,02;121,66;114,59;123,58;105,84
2025-04-17 12:32:10.085351;95,96;128,87;176,37;168,06;169,39;155,87;64,41;43,45;118,26;113,78;123,69;101,34
2025-04-17 12:32:10.134862;95,74;127,86;176,34;168,31;169,13;156,04;63,43;43,35;117,90;113,61;124,32;101,97
2025-04-17 12:32:10.187865;96,04;127,93;176,06;168,19;169,10;155,75;62,42;41,47;117,69;113,20;122,78;100,36
2025-04-17 12:32:10.236395;96,02;127,13;176,04;168,49;169,40;154,91;60,66;42,76;116,20;114,32;121,63;100,34
2025-04-17 12:32:10.278384;96,05;127,06;176,01;168,45;169,71;154,76;59,61;40,92;115,72;113,53;120,97;98,53
2025-04-17 12:32:10.334893;96,14;126,35;175,91;168,45;169,97;154,65;58,34;40,04;114,92;113,64;119,40;97,00
2025-04-17 12:32:10.383156;96,24;126,21;175,73;168,29;170,10;154,77;57,33;39,50;114,91;113,47;118,34;96,75
2025-04-17 12:32:10.436662;96,91;125,95;175,43;169,33;170,18;153,82;55,23;41,10;114,78;114,85;115,08;96,59
2025-04-17 12:32:10.485667;97,30;125,80;175,52;169,31;170,92;153,63;52,99;41,42;113,49;115,76;113,74;98,13
2025-04-17 12:32:10.546184;97,30;125,57;175,61;169,51;170,97;153,56;52,57;39,82;113,49;115,14;113,39;95,97
2025-04-17 12:32:10.596708;97,61;125,17;175,56;170,07;171,32;153,25;50,95;41,12;113,14;116,89;110,50;96,38
2025-04-17 12:32:10.636707;97,58;125,15;175,67;170,28;171,41;153,18;49,84;39,98;112,80;117,35;109,72;93,41
2025-04-17 12:32:10.683713;97,49;124,77;175,69;170,78;171,63;153,17;48,54;38,92;112,70;117,53;109,18;91,41
2025-04-17 12:32:10.735224;98,80;125,20;174,90;171,19;172,07;152,45;45,96;37,16;112,28;116,30;104,13;88,90
2025-04-17 12:32:10.778231;98,73;124,88;175,04;171,82;172,30;152,01;44,05;36,49;111,26;116,01;102,97;89,53
2025-04-17 12:32:10.823751;98,89;124,92;174,73;171,75;172,60;151,27;41,92;37,74;110,46;116,53;100,59;87,81
2025-04-17 12:32:10.883758;98,94;124,02;174,33;171,96;172,62;151,90;40,26;37,46;109,95;116,23;100,17;88,95
2025-04-17 12:32:10.928271;99,01;123,84;174,08;171,70;172,26;152,14;39,83;36,75;109,61;115,52;100,96;89,66
2025-04-17 12:32:10.978276;99,15;124,08;173,98;171,43;172,12;152,20;39,21;36,95;109,24;115,81;99,54;89,22
